Nodes,score,level,source_original,RNA_input
ABL1,-1.8724783919691086,4,ABL1,-0.23554445833505894
ACTB,1.547215409248908,5,ACTB,0.9050039586006573
AKT1,-1.9239564959881608,3,AKT1,0.41836458623577694
APP,1.6097348589977354,5,APP,0.01988869279324362
ARHGEF2,-1.8496365446218792,4,ARHGEF2,-0.10204564336284613
AURKB,-1.8957943021183437,4,AURKB,0.4365699630881243
BAD,1.8957943021183437,4,BAD,-0.6344823709330095
BBC3,1.5641658805546776,5,BBC3,-1.0367084754426512
BCL2L1,-1.8957943021183437,4,BCL2L1,-1.067928636819108
BCL3,-1.8760971104315365,5,BCL3,-0.20376490322301277
BECN1,1.6535986982069701,5,BECN1,0.16611477387448417
BID,1.5641658805546776,5,BID,-0.03342327258283019
BLM,1.8957943021183437,4,BLM,-0.6852629732568395
BNIP3,1.5641658805546776,5,BNIP3,-0.052119743773476106
BNIP3L,1.5641658805546776,5,BNIP3L,-0.5498727426369492
BRCA1,-1.8957943021183437,4,BRCA1,-0.3915125148363815
CAD,1.5192801476360822,2,CAD,-0.021342781781328934
CDK2,1.6685424379847076,4,CDK2,-0.14125268314086833
CHEK1,1.8957943021183437,4,CHEK1,-0.887016471114812
CHEK2,1.8957943021183437,4,CHEK2,-1.247324679185754
CREB1,1.8957943021183437,4,CREB1,-1.1461193968231682
CREBBP,1.87501538565127,4,CREBBP,0.3585143824459606
CTNNB1,-1.9024666115317919,5,CTNNB1,0.08893885549277405
CTNND1,-1.528588639943231,5,CTNND1,-1.2659963109854675
CTTN,1.5394065242190842,6,CTTN,1.0433096319393405
DAPK3,1.8957943021183437,4,DAPK3,-0.24902161706766532
DBF4,1.554965913884031,6,DBF4,-0.5947326714937723
DDX5,1.8957943021183437,4,DDX5,-0.14942330708871313
DUSP1,1.870306557463408,4,DUSP1,-0.6068295528398102
E2F1,2.2635264022803825,4,E2F1,0.42532078769130616
E2F4,1.5641658805546783,5,E2F4,-0.17981130365196668
EGR1,1.8957943021183437,4,EGR1,-0.7000437714230145
EIF2AK2,1.9767949585614046,4,EIF2AK2,-0.8423796615149114
EIF4E,2.6936082442161493,6,EIF4E,-1.6300938144497186
ELAVL1,1.8957943021183437,4,ELAVL1,-0.3466014870403832
EP300,1.8957943021183437,4,EP300,1.3030655680862233
FH,2.189563542596678,2,FH,-0.5019579697073125
FN1,-1.6623213024288364,5,FN1,0.6865772299561439
G6PD,-1.8302673373918892,2,G6PD,-0.12725657350749747
