source,target,sign,Weight
BSG,Enzyme757700002__BSG,1,0.6666666666666665
CAV1,BSG,-1,0.6666666666666665
E2F1,FGFR1,1,0.33333333333333326
E2F1,JUN,1,1
E2F1,PLK1,1,0.1111111111111111
E2F1,RELA,1,1
E2F4,JUN,1,1
EGFR,CAV1,1,0.22222222222222218
EGR1,HIF1A,1,1
ETS1,EGR1,1,1
FGFR1,LDHA,1,0.33333333333333326
FGFR1,STAT1,1,0.33333333333333326
Enzyme1338__AKR1A1,Metab__D-Glucitol_c,1,1
Enzyme1338__AKR1B1,Metab__D-Glucitol_c,1,1
Enzyme1338__AKR7A2,Metab__D-Glucitol_c,1,1
Enzyme7338__LDHA_reverse,Metab__L-Lactic acid_c,1,1
Enzyme757700002__BSG,Metab__L-Lactic acid_c,1,1
Enzyme9047__SLC2A1,Metab__D-Glucose_c,1,1
Enzyme9049__SLC2A1_reverse,Metab__D-Glucose_c,1,1
Enzyme9172__LDHA_reverse,Metab__L-Lactic acid_m,1,1
Enzyme918200002__SLC16A1,Metab__L-Lactic acid_m,1,1
HIF1A,ETS1,1,1
HIF1A,LDHA,1,0.33333333333333326
HIF1A,SLC2A1,1,1
IRS1,CAV1,1,0.2222222222222222
JUN,EGR1,1,1
JUN,ETS1,1,1
JUN,TP53,-1,0.1111111111111111
LDHA,Enzyme7338__LDHA_reverse,1,0.33333333333333326
LDHA,Enzyme9172__LDHA_reverse,1,0.33333333333333326
MAPK1,FGFR1,-1,0.1111111111111111
MAPK1,MAPK3,1,0.1111111111111111
MAPK1,TP53,1,0.1111111111111111
MAPK14,EGFR,-1,0.22222222222222218
MAPK14,ETS1,1,0.22222222222222218
MAPK14,JUN,1,0.22222222222222218
MAPK14,MAPK1,-1,0.1111111111111111
MAPK14,MAPK3,-1,0.1111111111111111
MAPK14,RARA,1,0.22222222222222218
MAPK14,RELA,1,0.22222222222222218
MAPK14,STAT1,1,0.22222222222222218
MAPK14,USF1,1,0.22222222222222218
MAPK3,FGFR1,-1,0.1111111111111111
MAPK3,TP53,1,0.1111111111111111
Metab__D-Glucose_c,Enzyme1338__AKR1A1,1,1
Metab__D-Glucose_c,Enzyme1338__AKR1B1,1,1
Metab__D-Glucose_c,Enzyme1338__AKR7A2,1,1
Metab__L-Lactic acid_c,Enzyme918200002__SLC16A1,1,1
Metab__D-Glucitol_c,MAPK14,1,0.22222222222222218
NFKB1,JUN,1,1
NFKB1,RELA,1,1
PLK1,IRS1,-1,0.1111111111111111
PLK1,TP53,-1,0.1111111111111111
PML,JUN,1,0.1111111111111111
PRKCA,EGFR,-1,0.22222222222222218
PRKCA,IRS1,-1,0.2222222222222222
PRKCA,RARA,1,0.2222222222222222
PRKCA,RELA,1,0.2222222222222222
RARA,PRKCA,1,0.2222222222222222
RELA,EGR1,1,1
RELA,EPAS1,1,1
RELA,JUN,1,1
RELA,NFKB1,1,1
RELA,SP1,1,1
SLC2A1,Enzyme9047__SLC2A1,1,1
SLC2A1,Enzyme9049__SLC2A1_reverse,1,1
SP1,BSG,1,0.6666666666666665
SP1,E2F1,1,1
SP1,EGFR,-1,0.22222222222222218
SP1,EGR1,1,1
SP1,LDHA,1,0.33333333333333326
SP1,NFKB1,1,1
SP1,RARA,1,1
SP1,RELA,1,1
STAT1,PML,1,0.1111111111111111
TP53,CAV1,1,0.1111111111111111
TP53,E2F1,-1,0.1111111111111111
TP53,EGFR,1,0.1111111111111111
TP53,ETS1,-1,0.1111111111111111
TP53,PLK1,-1,0.1111111111111111
TP53,SLC2A1,-1,0.1111111111111111
