Nodes,score,level,source_original,RNA_input
ABL1,-1.8349535192843596,4,ABL1,0.6754657319599316
ACAT1,0.7827272337139785,3,ACAT1,-0.5412971025924214
ACTA1,-1.353437952989639,5,ACTA1,1.7575662253340951
ACTB,1.508481765797704,5,ACTB,0.9463682672107339
ADAM17,-1.0783382390220233,5,ADAM17,-0.21469134512642013
ADAM9,-1.2404144516658944,5,ADAM9,-0.3115845430573009
ADSL,-0.7202630819243522,2,ADSL,0.48774919088190394
AHCYL1,0.594675230117091,2,AHCYL1,0.2617912558908224
AKR1B1,1.8634492249556862,2,AKR1B1,1.578090464534523
AKT1,-1.4849087813428594,3,AKT1,0.24919987148607964
AKT2,-0.7942863421510715,5,AKT2,0.1926664931183626
ANAPC1,1.256653509228815,5,ANAPC1,-0.199357870548042
ANAPC10,1.1275815820507293,6,ANAPC10,-0.8797046226161472
ANAPC2,0.947055886264163,6,ANAPC2,-0.4332541971069565
ANAPC4,1.1275815820507293,6,ANAPC4,-0.6133178182701504
ANAPC5,1.1275815820507293,6,ANAPC5,-0.4966424992150375
ANAPC7,1.1275815820507293,6,ANAPC7,-0.505849286743672
APC,1.8203657312898123,5,APC,-0.2747797186534912
APEX1,1.632538014403947,4,APEX1,0.3468619062321779
APP,1.2279995543734712,5,APP,0.5926370598218393
ARAF,1.9522425885475363,4,ARAF,0.028174797359911248
ARHGEF2,-1.648625524190575,4,ARHGEF2,-1.5858681314028542
ASXL1,1.2388013641441706,4,ASXL1,0.26123222365874793
ATG13,1.2566535092288147,5,ATG13,-1.1559766910842815
ATG9A,-1.3752882833640683,6,ATG9A,-0.11273266918373061
ATR,0.8238264658855571,3,ATR,-0.8580136381447373
AURKA,-1.0030219604930695,4,AURKA,0.240521915953196
AURKB,-1.5362950353992844,4,AURKB,0.3255982685601383
BACH1,0.8771301901819263,4,BACH1,-0.7541728455719335
BAD,1.5362950353992844,4,BAD,-0.25249389409088313
BAX,-1.2566535092288131,5,BAX,0.017049048836440157
BCL10,-1.4206414713187243,5,BCL10,0.28565416013201617
BCL2L1,-1.5362950353992844,4,BCL2L1,-0.17934074276369016
BCL3,0.7037127349332698,5,BCL3,1.1265935093752344
BCL6,-1.6325380144039479,4,BCL6,-1.3175697951257823
BECN1,1.7855456396750717,5,BECN1,-0.22002371935828402
BID,1.2618271541561579,5,BID,0.5197006076648356
BIRC2,-1.3926135314585415,4,BIRC2,-0.3390433988870413
