Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
BSG,,0,1,0,1,0,1,-0.026049330367443762
CAV1,,0,0,1,-1,0,-1,0.621135065809347
E2F1,P,0,1,0,1,1,1,-0.029805659005691338
E2F4,P,0,1,0,1,1,1,0.3273402058110679
EGFR,,0,0,1,-1,0,-1,1.0517209125855747
EGR1,P,0,1,0,1,1,1,-1.341182630983143
Enzyme1338__AKR1B1,,0,1,0,1,0,1,NA
Enzyme757700002__BSG,,0,1,0,1,0,1,NA
Enzyme9047__SLC2A1,,0,1,0,1,0,1,NA
Enzyme918200002__SLC16A1,,0,1,0,1,0,1,NA
JUN,P,0,1,0,1,1,1,0.8847499631187621
Metab__D-Glucitol_c,M,0,1,0,1,1,1,NA
Metab__D-Glucose_c,,0,1,0,1,0,1,NA
Metab__L-Lactic acid_c,M,0,1,0,1,1,1,NA
Metab__L-Lactic acid_m,M,0,1,0,1,1,1,NA
PPARG,P,0,0,1,-1,1,-1,-0.5098011247817948
SLC2A1,,0,1,0,1,0,1,1.4250781067817535
SRF,P,0,1,0,1,1,1,0.6722166455268822
TP53,,0,0,1,-1,0,-1,-1.0254170596200587
YY1,P,0,1,0,1,1,1,0.10217571206435457
