Node1,Node2,Sign,Weight
ABL1,BCAR1,1,1
ABL1,CAV1,1,1
ABL1,CDK5,1,1
ABL1,CTNNB1,-1,1
ABL1,CTNND1,1,1
ABL1,EGFR,1,1
ABL1,EPHB2,1,1
ABL1,HDAC2,1,1
ABL1,JUN,1,1
ABL1,MAP3K1,1,1
ABL1,MET,1,1
ABL1,MTOR,1,1
ABL1,PRKCD,1,1
ABL1,STAT1,1,1
ABL1,YAP1,1,1
ACVR1,ETS1,1,1
ACVR1B,MAPK8,1,1
ACVR1B,SMAD3,1,1
ACVR1B,SMAD4,1,1
ADAM10,APP,1,1
ADAM17,APP,1,0.5
ADAM17,HBEGF,1,0.5
AKT1,CHEK1,-1,1
AKT1,CLK2,1,1
AKT1,EP300,1,1
AKT1,FOS,1,1
AKT1,GSK3B,1,1
AKT1,ITGB1,1,1
AKT1,JUN,1,1
AKT1,MAP3K11,-1,1
AKT1,MYC,-1,1
AKT1,NFATC3,1,1
AKT1,NRIP1,1,1
AKT1,NUAK1,1,1
AKT1,PAK1,1,1
AKT1,PRKACA,1,1
AKT1,PRKCD,1,1
AKT1,SKP2,1,1
AKT1,SMAD3,1,1
AKT1,SRPK2,1,1
AKT1,THRA,1,1
AKT1,WNK1,1,1
AKT2,EP300,1,1
AKT2,FOS,1,1
AKT2,JUN,1,1
AKT3,FOS,1,1
AKT3,JUN,1,1
AKT3,PRKACA,1,1
ANO9,STAT1,1,1
APEX1,ARNT,1,1
APEX1,FOSL1,1,1
APEX1,RELB,1,1
APEX1,STAT3,1,1
APEX1,TP53,1,1
APEX1,TXN,1,1
ARNT,HIF1A,1,1
ARNT,VEGFA,1,1
ATAD2,MYC,1,1
ATF1,JUN,1,1
ATM,CHEK1,1,1
ATM,IKBKG,-1,1
ATM,PPM1G,1,1
ATM,TFDP1,1,1
AXIN1,CTNNB1,1,1
AXIN1,MYC,1,1
AXIN1,PIAS1,-1,1
BCAR1,MAPK8,1,1
BCAR1,PIK3R1,1,1
BLVRA,JUN,1,1
BLVRA,JUND,1,1
BMPR2,ACVR1,1,1
BRD4,EP300,1,1
BRD4,MYC,-1,1
CAMK2D,CREB5,1,1
CAMK2D,PRKACA,1,1
CAMK2D,PRKCD,1,1
CAMK2D,STAT1,1,1
CASP8AP2,NFKB1,1,1
CAV1,MMP14,-1,1
CAV1,PPP2CA,-1,1
CCNA2,RB1,-1,1
CCNA2,TFDP1,1,1
CCNE1,RB1,-1,1
