Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
ABL1,,0,1,0,1,0,1
ACVR1,P,0,1,0,1,1,1
AKT1,,0,1,0,1,0,1
ATF1,M,0,1,0,1,1,1
ATM,,0,1,0,1,0,1
BCL2,,0,0,1,-1,0,-1
BHLHE41,M,0,0,1,-1,1,-1
BMPR2,P,0,1,0,1,1,1
CAV1,P,0,1,0,1,1,1
CD44,P,0,1,0,1,1,1
CDK1,,0,1,0,1,0,1
CDK2,,0,1,0,1,0,1
CEBPB,M,0,1,0,1,1,1
CHEK1,,0,0,1,-1,0,-1
CREB1,M,0,1,0,1,1,1
CREM,M,0,0,1,-1,1,-1
CSNK2A1,,0,0,1,-1,0,-1
CUX1,M,0,0,1,-1,1,-1
DAG1,P,0,1,0,1,1,1
DNMT3A,M,0,0,1,-1,1,-1
E2F1,M,0,0,1,-1,1,-1
E2F3,M,0,0,1,-1,1,-1
E2F4,M,0,0,1,-1,1,-1
EGR1,M,0,1,0,1,1,1
EPHA2,P,0,0,1,-1,1,-1
ERBB2,P,0,0,1,-1,1,-1
ETS1,M,0,1,0,1,1,1
EWSR1,M,0,0,1,-1,1,-1
FOS,M,0,1,0,1,1,1
GLI2,M,0,0,1,-1,1,-1
HBP1,M,0,0,1,-1,1,-1
HDAC1,M,0,0,1,-1,1,-1
HIF1A,M,0,1,0,1,1,1
HIPK2,,0,0,1,-1,0,-1
ID3,M,0,0,1,-1,1,-1
ITGA3,P,0,1,0,1,1,1
ITGA5,P,0,1,0,1,1,1
ITGA6,P,0,0,1,-1,1,-1
ITGAV,P,0,1,0,1,1,1
ITGB1,P,0,1,0,1,1,1
ITGB5,P,0,1,0,1,1,1
JAK1,,0,1,0,1,0,1
JDP2,M,0,0,1,-1,1,-1
JUN,M,0,1,0,1,1,1
KDM5B,M,0,0,1,-1,1,-1
LEF1,M,0,0,1,-1,1,-1
LRP1,P,0,1,0,1,1,1
MAP3K7,,0,0,1,-1,0,-1
MAPK14,,0,0,1,-1,0,-1
MAPK7,,0,1,0,1,0,1
MAPK8,,0,0,1,-1,0,-1
MAX,M,0,0,1,-1,1,-1
MECP2,M,0,0,1,-1,1,-1
MEF2D,M,0,1,0,1,1,1
MYC,M,0,0,1,-1,1,-1
NCOR2,M,0,0,1,-1,1,-1
NFE2L2,M,0,1,0,1,1,1
NFKB1,M,0,1,0,1,1,1
NOTCH2,P,0,1,0,1,1,1
NR2C2,M,0,1,0,1,1,1
PARP1,,0,1,0,1,0,1
PDPK1,,0,0,1,-1,0,-1
PIAS1,,0,0,1,-1,0,-1
PIK3CA,,0,0,1,-1,0,-1
PLAUR,P,0,1,0,1,1,1
PPP1CA,,0,0,1,-1,0,-1
PPP2CA,,0,0,1,-1,0,-1
PRKACA,,0,1,0,1,0,1
PRKCA,,0,1,0,1,0,1
PRKCZ,,0,0,1,-1,0,-1
PRKDC,,0,1,0,1,0,1
PSMA7,,0,0,1,-1,0,-1
PTPN6,,0,1,0,1,0,1
RBL2,,0,0,1,-1,0,-1
RELA,M,0,1,0,1,1,1
RPS6KB1,,0,0,1,-1,0,-1
RUNX2,M,0,1,0,1,1,1
SCARB1,P,0,0,1,-1,1,-1
SMAD3,M,0,1,0,1,1,1
SMAD4,M,0,1,0,1,1,1
SMAD7,M,0,0,1,-1,1,-1
SNAI1,M,0,0,1,-1,1,-1
SOX9,M,0,0,1,-1,1,-1
SP1,M,0,1,0,1,1,1
SP3,M,0,1,0,1,1,1
SRF,M,0,1,0,1,1,1
STAT1,M,0,1,0,1,1,1
STAT2,M,0,1,0,1,1,1
STAT6,M,0,1,0,1,1,1
TFAP2A,M,0,1,0,1,1,1
TP53,M,0,1,0,1,1,1
TRAF2,P,0,0,1,-1,1,-1
TRAF6,,0,1,0,1,0,1
USF1,M,0,1,0,1,1,1
XBP1,M,0,1,0,1,1,1
YY1,M,0,0,1,-1,1,-1
