Node1,Node2,Sign,Weight
ABL1,CAV1,1,0.23
ABL1,CEBPB,1,0.23
ABL1,JUN,1,0.23
ABL1,PSMA7,-1,0.23
ABL1,PTPN6,1,0.02
ABL1,STAT1,1,0.23
ABL2,CEBPB,1,0.77
ABL2,PSMA7,-1,0.77
ACO1,Enzyme3825__ACO1_reverse,1,0.36
ACO1,Enzyme9711__ACO1_reverse,1,0.53
ATF1,JUN,1,1
ATR,CHEK1,1,1
ATR,CREB1,-1,1
ATR,E2F1,1,1
ATR,KMT2A,1,1
BHLHE40,STAT1,-1,1
BHLHE40,VEGFA,-1,1
BHLHE41,VEGFA,-1,1
BMPR2,ACVR1,1,1
CASP3,PARP1,-1,0.71
CASP3,RELA,-1,0.71
CDH2,CDON,1,1
CDK1,ABL1,1,0.23
CDK1,CUX1,-1,1
CDK1,IREB2,-1,0.25
CDK1,KMT5A,1,1
CDK1,PPP1CA,-1,1
CDK1,RUNX2,1,1
CDK1,SP1,1,1
CDK1,TP53,1,1
CDK2,CEBPB,1,1
CDK2,E2F1,-1,1
CDK2,ID3,-1,1
CDK2,PPP1CA,-1,1
CDK2,RBL2,-1,1
CDK2,SP1,1,1
CDK2,TP53,1,1
CDKN2A,ATR,1,1
CDKN2A,CDK2,-1,1
CDKN2A,TP53,-1,1
CDON,SPAG9,1,1
CEBPB,GNAI2,1,1
CEBPB,LAMC1,1,1
CEBPB,MFGE8,1,1
CEBPB,MYC,-1,1
CEBPG,APP,1,1
CEBPG,GNAI2,1,1
CEBPG,JUN,1,1
CHEK1,E2F3,1,1
CHEK1,NFKB1,-1,1
CREB1,HIF1A,1,1
CREB1,SMAD3,1,1
CREB1,VEGFA,1,1
CREBBP,EZH2,1,1
CREBBP,MYC,1,1
CREBBP,S100A4,1,1
CREM,JUN,-1,1
CSNK2A1,EGR1,-1,1
CSNK2A1,GPI,-1,0.63
CSNK2A1,HDAC1,1,1
CSNK2A1,JUN,-1,1
CSNK2A1,LEF1,1,1
CSNK2A1,NFE2L2,-1,1
CSNK2A1,PIAS1,1,1
CSNK2A1,SNAI1,1,1
CSNK2A1,SP1,-1,1
CSNK2A1,YY1,1,1
CUX1,JUN,-1,1
DAG1,PRKCA,1,1
DAPK1,CDKN2A,1,1
DAPK1,ITGA3,-1,1
DAPK1,PKM,1,1
DNMT3A,TIMP2,-1,1
DNMT3A,VEGFA,-1,1
E2F1,CHEK1,1,1
E2F1,EZH2,1,1
E2F1,HDAC1,1,1
E2F1,MYC,1,1
E2F1,VEGFA,-1,1
E2F4,HMGB1,1,1
EGR1,APP,1,1
EGR1,HBEGF,1,1
EGR1,HIF1A,1,1
EGR1,TIMP2,1,1
EGR1,VEGFA,1,1
ERBB2,CDK1,-1,1
ETS1,JUN,1,1
ETS1,STAT1,1,1
EZH2,HOXC13,-1,1
EZH2,NFE2L2,-1,1
EZH2,TP53,-1,1
EZH2,VIM,-1,1
Enzyme168800001__SLC25A1,Metab__Citric acid_m,1,0.17
Enzyme220500001__SLC25A1,Metab__Citric acid_c,1,0.08
Enzyme220800002__SLC25A1,Metab__Citric acid_m,1,0.18
Enzyme2346__PKM_reverse,Metab__Phosphoenolpyruvate_c,1,1
Enzyme3825__ACO1_reverse,Metab__Citric acid_c,1,0.36
Enzyme3825__IREB2_reverse,Metab__Citric acid_c,1,0.25
Enzyme3844__PGD,Metab__D-Ribulose 5-phosphate_c,1,1
