Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights,feature_weights
ABL1,4,0.63,0.37,0,0.37,0,0.37,1,0.24835872899717384,NA
ABL2,0,0.37,0.63,0,0.63,0,0.63,1,0.5145635667312618,NA
ACO1,0,0.3,0,0.7,-0.7,0,-0.7,-1,0.40993339954624436,NA
ACVR1,3,0,1,0,1,1,1,1,0.5614534935618539,2.5078525253974995
ADAM10,2,0,1,0,1,1,1,1,0.11542398490181772,1.2090897500941908
ADAM17,2,0,1,0,1,0,1,1,NA,NA
ADAM9,2,0,1,0,1,1,1,1,0.6147625576867781,3.375248685933694
AKT1,0,0,1,0,1,0,1,1,0.10153008787122021,NA
APP,2,0,1,0,1,1,1,1,0.42684628908359384,2.2812175632712424
ATF1,4,0,1,0,1,1,1,1,-0.10124041614605972,4.372140369155506
ATR,0,0,0,1,-1,0,-1,-1,NA,NA
BCL2,0,0.31,0,0.69,-0.69,0,-0.69,-1,NA,NA
BHLHE41,4,0,0,1,-1,1,-1,-1,NA,-2.847735402921377
BMPR2,1,0,1,0,1,1,1,1,0.3523027701976526,2.0389827933218143
BNIP3,0,0,1,0,1,0,1,1,0.5010097763495176,NA
CASP3,0,0.89,0,0.11,-0.11,0,-0.11,-1,-0.08870283550161946,NA
CAV1,3,0,1,0,1,0.5,1,1,0.5991342210990575,2.5940938285599224
CBL,0,0.58,0,0.42,-0.42,0,-0.42,-1,NA,NA
CD44,3,0,1,0,1,1,1,1,0.7503894823741774,3.340253093813914
CDH2,0,0,0,1,-1,0,-1,-1,0.19058487263619311,NA
CDK1,0,0,1,0,1,0,1,1,-0.10744001934272122,NA
CDK2,0,0,1,0,1,0,1,1,0.1270115650433011,NA
CDKN2A,0,0,0,1,-1,0,-1,-1,0.059010717286318896,NA
CDON,0,0,0,1,-1,0,-1,-1,NA,NA
CEBPB,4,0,1,0,1,1,1,1,0.2624036168855541,3.839931861414922
CHEK1,0,0,0,1,-1,0,-1,-1,-0.2783514400765046,NA
CREB1,4,0,1,0,1,1,1,1,NA,3.8071625397069453
CREBBP,4,0,0,1,-1,1,-1,-1,0.16394692616295894,-0.5028002499270882
CREM,4,0,0,1,-1,1,-1,-1,0.10882856235727337,-1.7541096979773254
CSK,0,0.58,0.19,0.23,-0.04,0,-0.04,-1,-0.30884061448733946,NA
CSNK2A1,0,0,0,1,-1,0,-1,-1,-0.030980144046801324,NA
CUX1,4,0,0,1,-1,1,-1,-1,0.021540637326422765,-1.764552392006058
DAG1,1,0,1,0,1,1,1,1,0.5924465942990876,2.906442130195314
DAPK1,0,0,0.5,0.5,0,0,0,0,NA,NA
DAXX,4,0,0,1,-1,0,-1,-1,-0.008902090152578469,NA
DNMT3A,4,0,0,1,-1,1,-1,-1,-0.2188689599477262,-2.1933228807538963
E2F1,4,0,0,1,-1,1,-1,-1,-0.09663077853453744,-3.1184359600873996
E2F2,4,0,0,1,-1,1,-1,-1,-0.3520683299440171,-2.5385658805497897
E2F3,4,0,0,1,-1,1,-1,-1,NA,-2.3850655545704575
E2F4,4,0,0,1,-1,1,-1,-1,-0.1913161189726346,-2.5499619822509705
EFNB1,2,0,0,1,-1,1,-1,-1,-0.012317647192697238,-0.31624216871044963
EGFR,3,0,0,1,-1,0,-1,-1,0.3553494557538208,1.4465785077815843
EGR1,4,0,1,0,1,1,1,1,0.012290859597281836,5.074897098006967
EIF2AK3,0,0,1,0,1,0,1,1,NA,NA
ELAVL1,0,0,1,0,1,0,1,1,-0.006871019305051835,NA
ENO1,4,0,0,1,-1,0,-1,-1,0.1959630786396235,NA
Enzyme119800002__SLC7A1,0,0,1,0,1,0,1,1,NA,NA
Enzyme168800001__SLC25A1,0,0.88,0,0.12,-0.12,0,-0.12,-1,NA,NA
Enzyme177300002__orphanReacPHEt2m,0,0,1,0,1,0,1,1,NA,NA
Enzyme220500001__SLC25A1,0,0.88,0,0.12,-0.12,0,-0.12,-1,NA,NA
Enzyme220800002__SLC25A1,0,0.735,0,0.265,-0.265,0,-0.265,-1,NA,NA
Enzyme221400002__SLC25A1,0,0.77,0,0.23,-0.23,0,-0.23,-1,NA,NA
Enzyme2346__PKM_reverse,0,0,0,1,-1,0,-1,-1,NA,NA
Enzyme2730__orphanReacAHCYStm,0,0,1,0,1,0,1,1,NA,NA
Enzyme3825__ACO1_reverse,0,0.6,0,0.4,-0.4,0,-0.4,-1,NA,NA
Enzyme3825__IREB2_reverse,0,0.35,0,0.65,-0.65,0,-0.65,-1,NA,NA
Enzyme3844__PGD,0,0,1,0,1,0,1,1,NA,NA
Enzyme4788__KMT5A,0,0.64,0.36,0,0.36,0,0.36,1,NA,NA
Enzyme4789__KMT5A,0,0.7,0.3,0,0.3,0,0.3,1,NA,NA
Enzyme486200002__SLC6A9,0,0,1,0,1,0,1,1,NA,NA
Enzyme616500001__SLC25A1,0,0.88,0,0.12,-0.12,0,-0.12,-1,NA,NA
Enzyme616700002__SLC25A1,0,0.94,0,0.06,-0.06,0,-0.06,-1,NA,NA
Enzyme618000003__SLC25A1,0,0.815,0,0.185,-0.185,0,-0.185,-1,NA,NA
Enzyme619000001__SLC25A1,0,0.49,0,0.51,-0.51,0,-0.51,-1,NA,NA
Enzyme619100001__SLC25A1,0,0.51,0,0.49,-0.49,0,-0.49,-1,NA,NA
Enzyme6581__orphanReac3MHISc_reverse,0,0,1,0,1,0,1,1,NA,NA
Enzyme7225__ENO1,0,0,0,1,-1,0,-1,-1,NA,NA
Enzyme7328__TKT_reverse,0,0,1,0,1,0,1,1,NA,NA
Enzyme8252__KMT5A,0,0.33,0.67,0,0.67,0,0.67,1,NA,NA
Enzyme917500002__SLC7A1,0,0,1,0,1,0,1,1,NA,NA
Enzyme97__ACO1_reverse,0,0.79,0,0.21,-0.21,0,-0.21,-1,NA,NA
Enzyme9711__ACO1_reverse,0,0.81,0,0.19,-0.19,0,-0.19,-1,NA,NA
Enzyme982500001__SLC25A1,0,0.88,0,0.12,-0.12,0,-0.12,-1,NA,NA
EPHA2,1,0,0,1,-1,1,-1,-1,0.08937723453734238,-0.026993341288154893
ERBB2,3,0,0,1,-1,1,-1,-1,-0.2562547261843548,-0.4013717044602943
ETS1,4,0,1,0,1,1,1,1,-0.13899748069343076,4.125840273696318
FN1,2,0,1,0,1,1,1,1,0.19599399295609027,2.1087663728769
FOS,4,0,1,0,1,1,1,1,NA,4.83797597254458
FYN,0,0.2,0.59,0.21,0.38,0,0.38,0,0.05901506054416656,NA
GLI2,4,0,0,1,-1,1,-1,-1,NA,-1.1997739239813612
GNAI2,2,0,1,0,1,1,1,1,0.35610392219118714,2.123548130459289
GSTP1,2,0,0,1,-1,1,-1,-1,-0.33766510474536426,-0.728025135511369
HBEGF,2,0,1,0,1,1,1,1,0.2275350211536106,1.2442769550481287
HBP1,4,0,0,1,-1,1,-1,-1,0.06981798212255341,-1.0251912564081516
HDAC1,4,0,0,1,-1,1,-1,-1,-0.33200821980056855,-0.9884163612677012
HIF1A,4,0,1,0,1,1,1,1,0.669968472467251,6.988544788005606
HIPK2,4,0,0,1,-1,0,-1,-1,0.6202634690808714,NA
HSP90AA1,2,0,0,1,-1,1,-1,-1,0.06731092058256427,0.2527990907826175
ID3,4,0,0,1,-1,1,-1,-1,0.17986149665456322,-1.3213431304385674
IGF1R,3,0.97,0.03,0,0.03,0,0.03,1,0.0053083423029961704,1.09505179656087
ILK,0,0,1,0,1,0,1,1,0.41419907281821094,NA
IREB2,0,0.35,0,0.65,-0.65,0,-0.65,-1,NA,NA
ITGA3,3,0,1,0,1,1,1,1,0.6269819931029798,2.985695218116327
ITGA5,3,0,1,0,1,1,1,1,0.5540869448685753,2.3804200729162353
ITGA6,3,0,0,1,-1,1,-1,-1,0.07721169941396927,0.7013894288724971
ITGAV,3,0,1,0,1,1,1,1,0.5316055441297853,2.6134331719197084
ITGB1,3,0,1,0,1,1,1,1,0.8011682503158642,3.610702216483674
ITGB5,3,0,1,0,1,1,1,1,0.5141999339434132,2.70474943254059
JAK1,0,0.73,0.27,0,0.27,0,0.27,1,0.4332302847771028,NA
JDP2,4,0,0,1,-1,1,-1,-1,NA,-4.02971575705367
JUN,4,0,1,0,1,1,1,1,0.5962492592011661,7.305008861819684
