Node1,Node2,Sign,Weight
ABL2,CEBPB,1,0.25
ABL2,LGALS3,1,0.25
ACVR1,ETS1,1,1
ACVR1,MDM2,1,1
ACVR1,SMAD1,1,1
ACVR1,SMAD5,1,1
ACVR1B,MAPK8,1,1
ACVR1B,SMAD2,1,1
ACVR1B,SMAD3,1,1
ACVR1B,SMAD4,1,1
ADAM12,ITGB1,1,1
AKT3,CHUK,1,1
AKT3,CREB3,1,1
AKT3,JUN,1,1
AKT3,MDM2,1,1
AKT3,PRKACA,1,1
APEX1,ARNT,1,1
APEX1,FOSL1,1,1
APEX1,STAT3,1,1
APEX1,TP53,1,1
APEX1,TXN,1,1
ARNT,EGLN1,1,1
ARNT,ETS1,1,1
ARNT,HIF1A,1,1
ARNT,TGFB1,1,1
ARNT,TWIST1,1,1
ATAD2,MYC,1,1
ATF1,JUN,1,1
ATF2,JUN,1,1
ATF2,MMP2,1,1
ATF2,PCNA,1,1
ATF4,CEBPB,1,1
ATF4,DDR2,1,1
ATF4,EGR1,1,1
ATF6,CALR,1,1
ATF6,HSP90B1,1,1
ATR,PRKDC,1,1
ATR,SP1,1,1
ATR,TP53,1,1
AXIN1,MYC,1,1
AXIN1,PIAS1,-1,1
AXIN1,SMAD3,1,1
BCAR1,MAPK8,1,1
BCAR1,PIK3R1,1,1
BDNF,CDK5,1,1
BDNF,STAT3,1,1
BLVRA,ATF2,1,1
BLVRA,JUN,1,1
BLVRA,JUND,1,1
BUB1,MDM2,1,1
BUB1,NCL,1,1
BUB1,PLK1,1,1
BUB1,SMARCA4,1,0.56
BUB1,TP53,1,1
CAMK1,ATF1,1,1
CAMK1,ATF2,1,1
CAMK1,ATF4,1,1
CAMK1,CREB3,1,1
CAMK1,CREB3L1,1,1
CAMK1,CREB5,1,1
CAMK1D,ATF2,1,1
CAMK1D,ATF4,1,1
CAMK1D,CREB3,1,1
CAMK1D,CREB3L1,1,1
CAMK1D,CREB5,1,1
CAMK2D,ATF2,1,1
CAMK2D,ATF4,1,1
CAMK2D,CREB3,1,1
CAMK2D,CREB3L1,1,1
CAMK2D,CREB5,1,1
CAMK2D,PRKACA,1,1
CAMK2D,PRKCD,1,1
CAMK2G,ATF1,1,1
CAMK2G,ATF2,1,1
CAMK2G,ATF4,1,1
CAMK2G,CREB3,1,1
CAMK2G,CREB3L1,1,1
CAMK2G,CREB5,1,1
CAMK2G,MAP3K7,1,1
CAMK2G,PRKACA,1,1
CASP8AP2,NFKB1,1,1
CCNA2,TFDP1,1,1
CCNA2,TP53,1,1
CDC73,MYC,-1,1
CDK1,BUB1,1,1
CDK1,CSNK2B,1,1
CDK1,FOXM1,1,1
CDK1,KAT5,1,1
CDK1,PKN1,1,1
CDK1,PLK1,1,1
CDK1,PPP1CA,-1,1
CDK1,RUNX1,1,0.25
CDK1,RUNX2,1,0.25
CDK1,RXRA,1,1
CDK1,SP1,1,1
CDK1,SREBF1,1,1
CDK1,TP53,1,1
CDK2,AXIN1,1,1
CDK2,CCNA2,1,1
CDK2,CEBPB,1,1
CDK2,FOXM1,1,1
CDK2,MYC,1,1
CDK2,NFYA,1,1
CDK2,PAK1,-1,1
CDK2,PELP1,1,1
CDK2,PPP1CA,-1,1
CDK2,RUNX1,1,0.25
CDK2,SP1,1,1
CDK2,TFDP1,1,1
CDK2,TP53,1,1
CDK4,ETS1,1,1
CDK4,FOXM1,1,1
CDK4,NCL,1,1
CDK4,PELP1,1,1
CDK4,PKM,1,1
CDK4,SMAD4,1,1
CDK5,ETS1,1,1
CDK5,MAPK7,1,1
CDK5,PAK1,-1,1
CDK5,PPP1CA,-1,1
CDK5,SMAD4,1,1
CDK5,SRC,1,1
CDK5,SRF,1,1
CDK5,STAT3,1,1
CDK5,TP53,1,1
CDK9,ETS1,1,1
CDK9,TP53,1,1
CEBPB,E2F4,1,1
CEBPB,GOT1,1,1
CEBPB,HSP90AA1,1,1
CEBPB,RUNX2,1,0.25
CEBPB,SREBF1,1,1
CEBPB,STAT3,1,1
CHUK,CREBBP,1,1
CHUK,MTOR,1,1
CHUK,MYC,1,1
CHUK,RELA,1,1
COL1A1,DDR2,1,1
COL1A1,ITGA5,1,1
COL1A1,ITGB1,1,1
COL5A1,ITGB1,1,1
COL6A2,ITGB1,1,1
COPS5,HIF1A,1,1
COPS5,JUN,1,1
COPS5,MDM2,1,1
COPS5,MYC,1,1
COPS5,SMAD7,1,1
CREB5,ATF2,1,1
CREB5,JUN,1,1
CREBBP,ARNT,1,1
CREBBP,ELK1,1,1
CREBBP,JUN,1,1
CREBBP,KLF5,1,1
CREBBP,NFE2L2,1,1
CREBBP,RELA,1,1
CREBBP,SMAD2,1,1
CREBBP,SREBF1,1,1
CREBBP,STAT3,1,1
CREBBP,TP53,1,1
CREBBP,VDR,1,1
CSNK2B,RELA,1,1
CSNK2B,TBP,1,1
CSNK2B,TP53,1,1
DDR2,PRKCD,1,1
DDX21,JUN,1,1
DUSP22,MAPK8,1,1
DVL1,JUN,1,1
DVL1,RAC1,1,1
DVL1,RHOA,1,1
DVL1,ROCK1,1,1
DVL1,SMAD3,1,1
E2F3,CCNA2,1,1
E2F3,CDK1,1,1
E2F3,MYC,1,1
E2F3,PLK1,1,1
E2F3,TFDP1,1,1
E2F4,CDK1,1,1
E2F4,JUN,1,1
EGLN1,EPAS1,1,1
EGR1,BCAR1,1,1
EGR1,FN1,1,1
EGR1,HIF1A,1,1
EGR1,LDLR,1,1
EGR1,PLAU,1,1
EGR1,PLAUR,1,1
EGR1,TGFB1,1,1
EGR1,TP53,1,1
ELK1,FOSL1,1,1
ELK1,PRKCA,1,1
EPAS1,SERPINE1,1,1
ETS1,CHUK,1,1
ETS1,EGR1,1,1
ETS1,MET,1,1
ETS1,PARP1,1,1
ETS1,RUNX1,1,0.25
ETS1,TFAP2A,1,1
ETV4,ETS1,1,1
ETV4,VIM,1,1
FER,STAT3,1,1
FGFR3,PIK3R1,1,1
FGFR3,STAT3,1,1
FN1,ITGA5,1,1
FN1,ITGB1,1,1
FN1,RAC1,1,1
FOSL2,FOSL1,1,1
FOXM1,MMP2,1,1
FOXM1,MYC,1,1
GATA2,APEX1,-1,1
GATA3,ZEB1,1,0.01
Gene1026__MTR,Metab__HMDB0000696_c,1,1
Gene1766__orphanReacr1435,Metab__HMDB0000187_m,1,0.6
Gene3636__GOT1,Metab__HMDB0000148_c,1,0.2
Gene3840__AHCY,Metab__HMDB0000742_c,1,0.5
Gene3840__AHCYL1,Metab__HMDB0000742_c,1,0.5
Gene4449__HDLBP_reverse,Metab__HMDB0000067_c,1,1
Gene4788__NSD1,Metab__HMDB0000939_c,1,0.37
Gene4789__NSD1,Metab__HMDB0000939_c,1,0.36
Gene5472__GOT1,Metab__HMDB0000148_c,1,0.2
Gene5761__GOT1,Metab__HMDB0000148_c,1,0.18
Gene6254__PLD2,Metab__HMDB0000187_c,1,0.47
Gene6581__orphanReac3MHISc_reverse,Metab__HMDB0000177_c,1,1
Gene7347__GOT1_reverse,Metab__HMDB0000159_c,1,1
Gene7350__GOT1,Metab__HMDB0000148_c,1,0.24
Gene7548__SHMT1_reverse,Metab__HMDB0000187_c,1,0.53
Gene7549__GLUL,Metab__HMDB0000641_c,1,1
Gene808__SHMT1_reverse,Metab__HMDB0000187_m,1,0.4
Gene8252__NSD1,Metab__HMDB0000939_c,1,0.27
Gene965__GOT1,Metab__HMDB0000148_c,1,0.18
GOT1,Gene3636__GOT1,1,0.2
GOT1,Gene5472__GOT1,1,0.2
GOT1,Gene5761__GOT1,1,0.18
GOT1,Gene7347__GOT1_reverse,1,1
GOT1,Gene7350__GOT1,1,0.24
GOT1,Gene965__GOT1,1,0.18
HDLBP,Gene4449__HDLBP_reverse,1,1
HIF1A,E2F3,1,1
