Node1,Node2,Sign,Weight
ABL1,ATR,1,1
ABL1,BCAR1,1,1
ABL1,CAV1,1,1
ABL1,CDK5,1,1
ABL1,CEBPB,1,1
ABL1,EGFR,1,1
ABL1,EPHB2,1,1
ABL1,HIPK2,1,1
ABL1,JUN,1,1
ABL1,MET,1,1
ABL1,MTOR,1,1
ABL1,MYLK,1,1
ABL1,PLK1,1,1
ABL1,STAT1,1,1
ACVR1,ETS1,1,1
ACVR1,MDM2,1,1
ACVR1,RPS6KA2,1,1
ACVR1,SMAD1,1,1
ACVR1B,MAPK8,1,1
ACVR1B,SMAD2,1,1
ACVR1B,SMAD3,1,1
AKT1,AKT2,-1,1
AKT1,IKBKG,-1,1
AKT1,IRAK1,-1,1
AKT1,MAP2K4,-1,1
AKT1,MAP3K11,-1,1
AKT1,MYC,-1,1
AKT1,PTPN1,-1,1
AKT1,RAF1,-1,1
AKT1,SOX9,1,1
AKT2,CHUK,1,1
AKT2,EP300,1,1
AKT2,GSK3A,-1,0.5
AKT2,JUN,1,1
AKT2,MDM2,1,1
AKT3,CHUK,1,1
AKT3,CREB3,1,1
AKT3,GSK3A,-1,0.5
AKT3,JUN,1,1
AKT3,MDM2,1,1
AKT3,PRKACA,1,1
ANKRD11,BDNF,1,1
ANKRD11,TP53,1,1
APEX1,FOSL1,1,1
APEX1,STAT3,1,1
APEX1,TP53,1,1
APEX1,TXN,1,1
ATAD2,MYC,1,1
ATF2,ATF3,1,1
ATF2,JUN,1,1
ATF2,PCNA,1,1
ATF2,RB1,1,1
ATF3,JUN,1,1
ATF4,ATF3,1,1
ATF4,CEBPB,1,1
ATF4,EGR1,1,1
ATM,ABL1,1,1
ATM,ATF2,1,1
ATM,BUB1,1,1
ATM,CHEK2,1,1
ATM,EP300,1,1
ATM,FBXW7,1,0.5
ATM,HIF1A,1,1
ATM,HIPK2,1,1
ATM,IKBKG,1,1
ATM,PRKDC,1,1
ATM,SMAD1,1,1
ATM,SP1,1,1
ATM,STK11,1,1
ATM,TADA3,1,1
ATM,TFDP1,1,1
ATM,TP53,1,1
ATM,TRAF6,1,1
ATR,ATM,1,1
ATR,CHEK2,1,1
ATR,PRKDC,1,1
ATR,SP1,1,1
ATR,TADA3,1,1
ATR,TP53,1,1
AURKA,PLK1,1,1
AURKA,TP53,1,1
AXIN1,MYC,1,1
AXIN1,RNF111,1,1
AXIN1,SMAD3,1,1
BACH1,GAPDH,1,1
BCAR1,MAPK8,1,1
BCL10,CHUK,1,1
BCL10,IKBKG,1,1
BCL10,RELA,1,1
BCL3,NFKB1,1,1
BDNF,CDK5,1,1
BDNF,STAT3,1,1
BLVRA,ATF2,1,1
BLVRA,JUN,1,1
BLVRA,JUND,1,1
BMPR1A,SMAD1,1,1
BUB1,MDM2,1,1
BUB1,NCL,1,1
BUB1,PLK1,1,1
BUB1,TP53,1,1
CALM2,CAMK1,1,1
CALM2,CAMK1D,1,1
CALM2,CAMK2D,1,1
CALM2,CAMK2G,1,1
CALM2,DAPK1,1,1
CALM2,MYLK,1,1
CALM2,RAC1,1,1
CAMK1,ATF2,1,1
CAMK1,ATF4,1,1
CAMK1,CREB3,1,1
CAMK1,CREB5,1,1
CAMK1,GAPDH,1,1
CAMK1D,ATF2,1,1
CAMK1D,ATF4,1,1
CAMK1D,CREB3,1,1
CAMK1D,CREB5,1,1
CAMK2D,ATF2,1,1
CAMK2D,ATF4,1,1
CAMK2D,CREB3,1,1
CAMK2D,CREB5,1,1
CAMK2D,PRKACA,1,1
CAMK2D,STAT1,1,1
CAMK2G,ATF2,1,1
CAMK2G,ATF4,1,1
CAMK2G,CREB3,1,1
CAMK2G,CREB5,1,1
CAMK2G,MAP3K7,1,1
CAMK2G,PRKACA,1,1
CAMK2G,STAT1,1,1
CASP8AP2,NFKB1,1,1
CCNA2,TFDP1,1,1
CCNA2,TP53,1,1
CDC73,MYC,-1,1
CDK1,ABL1,1,1
CDK1,APLP2,1,1
CDK1,BUB1,1,1
CDK1,CSNK2B,1,1
CDK1,PKN1,1,1
CDK1,PLK1,1,1
CDK1,PPP1CA,-1,1
CDK1,SP1,1,1
CDK1,TP53,1,1
CDK2,AXIN1,1,1
CDK2,CCNA2,1,1
CDK2,CEBPB,1,1
CDK2,MYC,1,1
CDK2,PELP1,1,1
CDK2,PPP1CA,-1,1
CDK2,RUNX1,-1,1
CDK2,SP1,1,1
CDK2,TFDP1,1,1
CDK2,TP53,1,1
CDK4,BCL3,1,1
CDK4,ETS1,1,1
CDK4,NCL,1,1
CDK4,PELP1,1,1
CDK4,PKM,1,1
CDK5,ATM,1,1
