Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
ABL1,P,0,1,0,1,1,1
ACVR1,P,0,1,0,1,1,1
ACVR1B,P,0,1,0,1,1,1
AKT2,P,0,1,0,1,1,1
AKT3,P,0,1,0,1,1,1
ANKRD11,P,0,1,0,1,1,1
ANXA1,M,0,1,0,1,1,1
APEX1,P,0,1,0,1,1,1
APLP2,M,0,1,0,1,1,1
ATAD2,P,0,1,0,1,1,1
ATF2,P,0,1,0,1,1,1
ATF3,P,0,1,0,1,1,1
ATF4,P,0,1,0,1,1,1
ATF6,P,0,1,0,1,1,1
ATM,P,0,1,0,1,1,1
ATR,P,0,1,0,1,1,1
AURKA,P,0,1,0,1,1,1
AXIN1,P,0,1,0,1,1,1
B2M,M,0,1,0,1,1,1
BACH1,P,0,1,0,1,1,1
BCAR1,P,0,1,0,1,1,1
BCL10,P,0,1,0,1,1,1
BCL3,P,0,1,0,1,1,1
BDNF,P,0,1,0,1,1,1
BLVRA,P,0,1,0,1,1,1
BMPR1A,P,0,1,0,1,1,1
BUB1,P,0,1,0,1,1,1
CALM2,M,0,1,0,1,1,1
CAMK1,P,0,1,0,1,1,1
CAMK1D,P,0,1,0,1,1,1
CAMK2D,P,0,1,0,1,1,1
CAMK2G,P,0,1,0,1,1,1
CASP8AP2,P,0,1,0,1,1,1
CAV1,M,0,1,0,1,1,1
CCNA2,P,0,1,0,1,1,1
CD44,M,0,1,0,1,1,1
CDC73,P,0,0,1,-1,1,-1
CDK1,P,0,1,0,1,1,1
CDK2,P,0,1,0,1,1,1
CDK4,P,0,1,0,1,1,1
CDK5,P,0,1,0,1,1,1
CEBPB,P,0,1,0,1,1,1
CHEK2,P,0,1,0,1,1,1
CHUK,P,0,1,0,1,1,1
COPS5,P,0,1,0,1,1,1
CREB3,P,0,1,0,1,1,1
CREB5,P,0,1,0,1,1,1
CREBBP,P,0,1,0,1,1,1
CSNK1A1,P,0,1,0,1,1,1
CSNK2A2,P,0,1,0,1,1,1
CSNK2B,P,0,1,0,1,1,1
CTCF,P,0,0,1,-1,1,-1
CTDSPL,P,0,1,0,1,1,1
DAB2,P,0,1,0,1,1,1
DAPK1,P,0,1,0,1,1,1
DAPK3,P,0,1,0,1,1,1
DDB1,P,0,1,0,1,1,1
DDX17,P,0,1,0,1,1,1
DDX21,P,0,1,0,1,1,1
DUSP22,P,0,1,0,1,1,1
DUSP6,P,0,1,0,1,1,1
DVL1,P,0,1,0,1,1,1
DYRK1B,P,0,1,0,1,1,1
E2F4,P,0,1,0,1,1,1
E2F7,P,0,1,0,1,1,1
EFEMP1,M,0,1,0,1,1,1
EGFR,P,0,1,0,1,1,1
EGR1,P,0,1,0,1,1,1
EIF2AK2,P,0,1,0,1,1,1
ELK1,P,0,1,0,1,1,1
ELK4,P,0,1,0,1,1,1
EP300,P,0,1,0,1,1,1
EPAS1,P,0,1,0,1,1,1
EPHB2,P,0,1,0,1,1,1
ETS1,P,0,1,0,1,1,1
ETV4,P,0,1,0,1,1,1
F3,M,0,1,0,1,1,1
FER,P,0,1,0,1,1,1
FGFR1,P,0,1,0,1,1,1
FOSL2,P,0,1,0,1,1,1
FYN,P,0,1,0,1,1,1
