Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,weights
ABL1,5,0,1,0,1,1,1,1,3.6226160572173
ACVR1,3,0,1,0,1,1,1,1,2.4267289974101582
ACVR1B,3,0,1,0,1,1,1,1,4.002513948356843
AKT1,5,0,0,1,-1,0,-1,-1,NA
AKT2,5,0,1,0,1,1,1,1,3.1582269384518824
AKT3,5,0,1,0,1,1,1,1,3.476908186619515
ANKRD11,5,0,1,0,1,1,1,1,2.0481428718064434
ANXA1,2,0,1,0,1,1,1,1,2.4204024311824663
ANXA1,2,0,1,0,1,1,1,1,2.4204024311824663
APEX1,5,0,1,0,1,1,1,1,5.0703399434804854
APLP2,1,0,1,0,1,1,1,1,2.062485655518529
APLP2,1,0,1,0,1,1,1,1,2.062485655518529
ATAD2,5,0,1,0,1,1,1,1,3.580947052722908
ATF2,4,0,1,0,1,1,1,1,3.2020041584251127
ATF3,4,0,1,0,1,1,1,1,2.3197125182521448
ATF4,4,0,1,0,1,1,1,1,3.826035284988112
ATF6,4,0,1,0,1,1,1,1,2.7715761116201887
ATM,5,0,1,0,1,1,1,1,4.45988764765654
ATR,5,0,1,0,1,1,1,1,2.855359838622335
AURKA,5,0,1,0,1,1,1,1,2.3385762769166574
AXIN1,5,0,1,0,1,1,1,1,4.19795552398476
BACH1,4,0,1,0,1,1,1,1,3.7508793541028824
BCAR1,5,0,1,0,1,1,1,1,4.537510782135842
BCL10,5,0,1,0,1,1,1,1,3.511938761770077
BCL3,5,0,1,0,1,1,1,1,2.966890809096688
BDNF,5,0,1,0,1,1,1,1,4.330104993734302
BLVRA,5,0,1,0,1,1,1,1,4.49358007887988
BMPR1A,5,0,1,0,1,1,1,1,2.2064603282646136
BUB1,5,0,1,0,1,1,1,1,2.974714996679682
CALM2,2,0,1,0,1,1,1,1,2.5721431445549148
CALM2,2,0,1,0,1,1,1,1,2.5721431445549148
CAMK1,5,0,1,0,1,1,1,1,2.943179538721532
CAMK1D,5,0,1,0,1,1,1,1,2.793587915656038
CAMK2D,5,0,1,0,1,1,1,1,3.8388705293682244
CAMK2G,5,0,1,0,1,1,1,1,3.4226019635775655
CASP8AP2,5,0,1,0,1,1,1,1,4.104438897654496
CCNA2,5,0,1,0,1,1,1,1,2.2515824502979487
CDC73,5,0,0,1,-1,1,-1,-1,-4.081387649280873
CDK1,5,0,1,0,1,1,1,1,2.640245844466179
CDK2,5,0,1,0,1,1,1,1,3.8204805883420696
CDK4,5,0,1,0,1,1,1,1,2.3743828681236803
CDK5,5,0,1,0,1,1,1,1,4.603242742655574
CEBPB,4,0,1,0,1,1,1,1,2.9446061013435636
CEBPD,4,0,1,0,1,1,1,1,5.126011856916734
CHEK2,5,0,1,0,1,1,1,1,3.0038679929843224
CHUK,5,0,1,0,1,1,1,1,2.9177665036549802
COPS5,5,0,1,0,1,1,1,1,6.331366889212287
CREB3,4,0,1,0,1,1,1,1,3.1562147562563916
CREB5,4,0,1,0,1,1,1,1,3.718434011280325
CREBBP,5,0,1,0,1,1,1,1,3.0874997290667947
CSNK1A1,5,0,1,0,1,1,1,1,2.128948266135593
CSNK2A2,5,0,1,0,1,1,1,1,2.6813573252493548
CSNK2B,5,0,1,0,1,1,1,1,3.362358735751212
