Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,weights
ABL1,0,0.6,0,0.4,-0.4,0,-0.4,-1,2.59365874217639
ACO1,0,0,1,0,1,0,1,1,NA
AKT1,0,0.75,0.25,0,0.25,0,0.25,1,1.8920008628401677
ANO9,1,0,0,1,-1,1,-1,-1,2.374467210132398
ANO9,1,0,0,1,-1,1,-1,-1,-2.002252286405497
ATAD2,1,0,1,0,1,1,1,1,-0.8669316311265862
ATAD2,1,0,1,0,1,1,1,1,3.576712006897122
ATM,1,0,1,0,1,1,1,1,1.2418792113999089
ATM,1,0,1,0,1,1,1,1,2.7634305345267545
ATR,0,0.42,0,0.58,-0.58,0,-0.58,-1,1.1445781134269521
AXIN1,1,0,1,0,1,1,1,1,-0.5157123690620454
AXIN1,1,0,1,0,1,1,1,1,3.8055401724478215
BCL6,0,0.82,0.18,0,0.18,0,0.18,1,NA
BRD4,1,0,0,1,-1,1,-1,-1,3.9325351219246927
BRD4,1,0,0,1,-1,1,-1,-1,-4.361530614672469
CCNA2,1,0,1,0,1,1,1,1,2.584771543225088
CCNA2,1,0,1,0,1,1,1,1,-1.1750898811245374
CCNE1,1,0,1,0,1,1,1,1,-2.1280160535264003
CCNE1,1,0,1,0,1,1,1,1,3.9531247327262466
CDC73,1,0,0,1,-1,1,-1,-1,2.503047931743227
CDC73,1,0,0,1,-1,1,-1,-1,-5.021364812866309
CDK1,1,0,1,0,1,1,1,1,2.2363980547025877
CDK1,1,0,1,0,1,1,1,1,0.41588785927804034
CDK2,1,0,1,0,1,1,1,1,-0.653249380673646
CDK2,1,0,1,0,1,1,1,1,4.526896948290461
CEBPB,0,0.42,0.58,0,0.58,0,0.58,1,NA
CHUK,1,0,1,0,1,1,1,1,-0.832199153175229
CHUK,1,0,1,0,1,1,1,1,3.061610367890314
COPS5,1,0,1,0,1,1,1,1,3.93497684359477
COPS5,1,0,1,0,1,1,1,1,1.4410837315712541
CREB3,1,0,1,0,1,1,1,1,NA
CSNK2A1,0,0.8,0.2,0,0.2,0,0.2,1,1.1325235729766343
CTCF,1,0,0,1,-1,1,-1,-1,NA
CUL1,1,0,1,0,1,1,1,1,-2.035340868521618
CUL1,1,0,1,0,1,1,1,1,3.1514541253074704
E2F2,1,0,1,0,1,1,1,1,NA
E2F3,1,0,1,0,1,1,1,1,NA
E2F4,1,0,1,0,1,1,1,1,NA
E2F5,1,0,1,0,1,1,1,1,NA
ELAVL1,1,0,0,1,-1,1,-1,-1,-3.6248775151730683
ELAVL1,1,0,0,1,-1,1,-1,-1,4.343448020530594
EP300,0,0,0,1,-1,0,-1,-1,2.550183931362354
FYN,0,0.7,0.3,0,0.3,0,0.3,1,2.1710846434250763
GATA3,1,0,0,1,-1,1,-1,-1,NA
Gene168800001__SLC25A1,0,0.95,0.05,0,0.05,0,0.05,1,NA
Gene17300002__SLC38A2,0,0,1,0,1,0,1,1,NA
Gene220500001__SLC25A1,0,0.78,0.22,0,0.22,0,0.22,1,NA
Gene220800002__SLC25A1,0,0.97,0.03,0,0.03,0,0.03,1,NA
Gene221400002__SLC25A1,0,0.86,0.14,0,0.14,0,0.14,1,NA
Gene2346__PKM_reverse,0,0,1,0,1,0,1,1,NA
Gene3825__ACO1_reverse,0,0.51,0.49,0,0.49,0,0.49,1,NA
Gene559100002__SLC38A2,0,0,1,0,1,0,1,1,NA
Gene5592__GPT2,0,0.49,0.51,0,0.51,0,0.51,1,NA
Gene616500001__SLC25A1,0,0.92,0.08,0,0.08,0,0.08,1,NA
Gene616700002__SLC25A1,0,0.79,0.21,0,0.21,0,0.21,1,NA
Gene618000003__SLC25A1,0,0.98,0.02,0,0.02,0,0.02,1,NA
Gene619000001__SLC25A1,0,0.07,0.93,0,0.93,0,0.93,1,NA
Gene619100001__SLC25A1,0,0.93,0.07,0,0.07,0,0.07,1,NA
Gene6248__PLD2,0,0.38,0.62,0,0.62,0,0.62,1,NA
Gene738300002__SLC38A2,0,0,1,0,1,0,1,1,NA
Gene94600002__SLC5A3,0,0.62,0.38,0,0.38,0,0.38,1,NA
Gene97__ACO1_reverse,0,0.68,0.32,0,0.32,0,0.32,1,NA
Gene9711__ACO1_reverse,0,0.71,0.29,0,0.29,0,0.29,1,NA
Gene982500001__SLC25A1,0,0.85,0.15,0,0.15,0,0.15,1,NA
GSK3A,1,0,0,1,-1,1,-1,-1,-2.175627963048011
GSK3A,1,0,0,1,-1,1,-1,-1,2.244135223519311
GSK3B,0,0.87,0,0.13,-0.13,0,-0.13,-1,2.5358415995137644
GSTP1,2,0,1,0,1,1,1,1,2.2707445633581766
GSTP1,2,0,1,0,1,1,1,1,2.2707445633581766
HDAC2,1,0,0,1,-1,1,-1,-1,3.3578503328017044
HDAC2,1,0,0,1,-1,1,-1,-1,-3.8493212094547595
HIF1A,0,0.7,0.3,0,0.3,0,0.3,1,NA
HSF1,1,0,1,0,1,1,1,1,NA
HSPA8,1,0,1,0,1,1,1,1,2.3001833952637982
HSPA8,1,0,1,0,1,1,1,1,2.3001833952637982
ID1,0,0,1,0,1,0,1,1,-0.024095874506804085
IL27RA,1,0,0,1,-1,1,-1,-1,2.374467210132398
IL27RA,1,0,0,1,-1,1,-1,-1,-2.002252286405497
KAT2A,1,0,1,0,1,1,1,1,-0.6831077644763341
KAT2A,1,0,1,0,1,1,1,1,3.632046035799088
KAT5,1,0,1,0,1,1,1,1,2.787964882495009
KAT5,1,0,1,0,1,1,1,1,-0.5093925313307412
KMT2A,1,0,0,1,-1,1,-1,-1,NA
MAPK1,1,0,1,0,1,1,1,1,1.6996888493533562
MAPK1,1,0,1,0,1,1,1,1,2.0301868081500434
MAPK3,1,0,1,0,1,1,1,1,1.661523782835066
MAPK3,1,0,1,0,1,1,1,1,2.248470100299921
MAPK8,0,0.63,0,0.37,-0.37,0,-0.37,-1,3.593770323043058
MDM2,1,0,1,0,1,1,1,1,2.7643458013032713
MDM2,1,0,1,0,1,1,1,1,0.5240063678267907
MEF2A,1,0,0,1,-1,1,-1,-1,NA
MEN1,0,0.58,0,0.42,-0.42,0,-0.42,-1,NA
Metab__HMDB0000094_c,1,0,1,0,1,1,1,1,3.045
Metab__HMDB0000094_m,1,0,1,0,1,1,1,1,3.045
Metab__HMDB0000161_c,1,0,1,0,1,1,1,1,2.607
Metab__HMDB0000168_c,1,0,1,0,1,1,1,1,3.519
Metab__HMDB0000211_c,1,0,1,0,1,1,1,1,3.1603333333333334
Metab__HMDB0000243_c,0,0.49,0.51,0,0.51,0,0.51,1,NA
Metab__HMDB0000263_c,1,0,1,0,1,1,1,1,2.1803333333333335
Metab__HMDB0000263_m,1,0,1,0,1,1,1,1,2.1803333333333335
Metab__HMDB0000641_c,1,0,1,0,1,1,1,1,2.281
MIF,2,0,1,0,1,1,1,1,2.56418045402141
MIF,2,0,1,0,1,1,1,1,2.56418045402141
MYBL2,1,0,1,0,1,1,1,1,NA
MYC,1,0,1,0,1,1,1,1,NA
NCL,1,0,1,0,1,1,1,1,2.5107727441654877
NCL,1,0,1,0,1,1,1,1,2.5107727441654877
NCOA3,1,0,0,1,-1,1,-1,-1,NA
NDN,1,0,1,0,1,1,1,1,-1.582758117193963
NDN,1,0,1,0,1,1,1,1,3.4113228241141687
NFAT5,0,0.62,0.38,0,0.38,0,0.38,1,NA
NFYA,1,0,1,0,1,1,1,1,NA
NFYB,1,0,1,0,1,1,1,1,NA
NMI,1,0,0,1,-1,1,-1,-1,4.110907770035437
NMI,1,0,0,1,-1,1,-1,-1,-5.842182046339288
NR2C2,1,0,1,0,1,1,1,1,NA
PAK1,0,0.58,0,0.42,-0.42,0,-0.42,-1,1.9295238737211904
PAK2,1,0,0,1,-1,1,-1,-1,-3.718272594256348
PAK2,1,0,0,1,-1,1,-1,-1,4.080007874627184
PARP1,1,0,1,0,1,1,1,1,0.6674053854558099
PARP1,1,0,1,0,1,1,1,1,2.5481585794938564
PCNA,1,0,1,0,1,1,1,1,-0.8265991058433075
PCNA,1,0,1,0,1,1,1,1,3.7849415588549755
PIM1,1,0,1,0,1,1,1,1,0.5709995585089883
PIM1,1,0,1,0,1,1,1,1,3.1824785214123232
PKM,0,0.51,0.49,0,0.49,0,0.49,1,2.945589538089386
PLD2,0,0.38,0.62,0,0.62,0,0.62,1,NA
PLK1,1,0,1,0,1,1,1,1,3.9631864690589147
PLK1,1,0,1,0,1,1,1,1,-2.1274106082520947
PPM1G,0,0.75,0.25,0,0.25,0,0.25,1,NA
PPP2CA,1,0,1,0,1,1,1,1,0.7735697267252718
PPP2CA,1,0,1,0,1,1,1,1,2.5458195951555056
PPP2CB,1,0,0,1,-1,1,-1,-1,-2.810450868754137
PPP2CB,1,0,0,1,-1,1,-1,-1,1.344016894991855
PPP2R5A,1,0,1,0,1,1,1,1,-0.5470224789045923
PPP2R5A,1,0,1,0,1,1,1,1,4.5262985213013724
PPP2R5D,1,0,0,1,-1,1,-1,-1,-5.45612972246781
PPP2R5D,1,0,0,1,-1,1,-1,-1,3.7062130937397084
PRKACA,0,0.7,0.3,0,0.3,0,0.3,1,2.9178176261165567
PRKCA,0,0,0,1,-1,0,-1,-1,2.935732385510591
PRKDC,0,0,1,0,1,0,1,1,2.270610161514067
PTPN11,0,0.37,0.63,0,0.63,0,0.63,1,2.4238508080318693
RALA,0,0.68,0.32,0,0.32,0,0.32,1,3.741030187155218
