Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
ACVR1,P,0,1,0,1,1,1
ACVR1B,P,0,1,0,1,1,1
ADAM12,P,0,1,0,1,1,1
AKT3,P,0,1,0,1,1,1
APEX1,P,0,1,0,1,1,1
ARNT,M,0,1,0,1,1,1
ATAD2,P,0,1,0,1,1,1
ATF1,M,0,1,0,1,1,1
ATF2,M,0,1,0,1,1,1
ATF4,M,0,1,0,1,1,1
ATF6,M,0,1,0,1,1,1
ATR,P,0,1,0,1,1,1
AXIN1,P,0,1,0,1,1,1
BCAR1,P,0,1,0,1,1,1
BDNF,P,0,1,0,1,1,1
BHLHE40,M,0,1,0,1,1,1
BLVRA,P,0,1,0,1,1,1
BUB1,P,0,1,0,1,1,1
CAMK1,P,0,1,0,1,1,1
CAMK1D,P,0,1,0,1,1,1
CAMK2D,P,0,1,0,1,1,1
CAMK2G,P,0,1,0,1,1,1
CASP8AP2,P,0,1,0,1,1,1
CAV1,P,0,1,0,1,1,1
CCNA2,P,0,1,0,1,1,1
CDC73,P,0,0,1,-1,1,-1
CDK1,P,0,1,0,1,1,1
CDK2,P,0,1,0,1,1,1
CDK4,P,0,1,0,1,1,1
CDK5,P,0,1,0,1,1,1
CDK9,P,0,1,0,1,1,1
CEBPB,M,0,1,0,1,1,1
CEBPD,M,0,1,0,1,1,1
CHUK,P,0,1,0,1,1,1
COL1A1,P,0,1,0,1,1,1
COL4A2,P,0,1,0,1,1,1
COL5A1,P,0,1,0,1,1,1
COL6A2,P,0,1,0,1,1,1
COPS5,P,0,1,0,1,1,1
CREB3,M,0,1,0,1,1,1
CREB3L1,M,0,1,0,1,1,1
CREB5,P,0,1,0,1,1,1
CREBBP,P,0,1,0,1,1,1
CSNK2B,P,0,1,0,1,1,1
DDR2,P,0,1,0,1,1,1
DDX21,P,0,1,0,1,1,1
DUSP22,P,0,1,0,1,1,1
DVL1,P,0,1,0,1,1,1
E2F3,M,0,1,0,1,1,1
E2F4,M,0,1,0,1,1,1
E2F7,M,0,1,0,1,1,1
EGLN1,,0,1,0,1,0,1
ELK1,M,0,1,0,1,1,1
ELK4,M,0,1,0,1,1,1
EPAS1,M,0,1,0,1,1,1
ETS1,M,0,1,0,1,1,1
ETV4,M,0,1,0,1,1,1
FER,P,0,1,0,1,1,1
FGFR3,P,0,1,0,1,1,1
FN1,P,0,1,0,1,1,1
FOSL1,M,0,1,0,1,1,1
FOSL2,M,0,1,0,1,1,1
GATA2,M,0,0,1,-1,1,-1
GATA3,,0.56,0.44,0,0.44,0,0.44
Gene1026__MTR,,0,1,0,1,0,1
Gene1766__orphanReacr1435,,0.4,0.6,0,0.6,0,0.6
Gene3636__GOT1,,0.8,0.2,0,0.2,0,0.2
Gene3840__AHCY,,0.5,0.5,0,0.5,0,0.5
Gene3840__AHCYL1,,0.5,0.5,0,0.5,0,0.5
Gene4449__HDLBP_reverse,,0,1,0,1,0,1
Gene4788__NSD1,,0.63,0.37,0,0.37,0,0.37
Gene4789__NSD1,,0.64,0.36,0,0.36,0,0.36
Gene5472__GOT1,,0.8,0.2,0,0.2,0,0.2
Gene5761__GOT1,,0.82,0.18,0,0.18,0,0.18
Gene6254__PLD2,,0.53,0.47,0,0.47,0,0.47
Gene6581__orphanReac3MHISc_reverse,,0,1,0,1,0,1
Gene7347__GOT1_reverse,,0,1,0,1,0,1
Gene7350__GOT1,,0.76,0.24,0,0.24,0,0.24
Gene7548__SHMT1_reverse,,0.47,0.53,0,0.53,0,0.53
Gene7549__GLUL,,0,1,0,1,0,1
Gene808__SHMT1_reverse,,0.6,0.4,0,0.4,0,0.4
Gene8252__NSD1,,0.73,0.27,0,0.27,0,0.27
Gene965__GOT1,,0.82,0.18,0,0.18,0,0.18
GOT1,,0,1,0,1,0,1
HDLBP,,0,1,0,1,0,1
