Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,weights
ABL2,5,0.75,0.25,0,0.25,0,0.25,1,NA
ACVR1,3,0,1,0,1,1,1,1,3.5858034294881875
ACVR1B,3,0,1,0,1,1,1,1,3.189382894994982
ADAM12,2,0,1,0,1,1,1,1,2.7043244175239565
ADAM12,2,0,1,0,1,1,1,1,2.7043244175239565
AKT3,5,0,1,0,1,1,1,1,2.436159868265134
APEX1,5,0,1,0,1,1,1,1,3.5805851394945813
ARNT,4,0,1,0,1,1,1,1,2.691998455409665
ARPC5,2,0,1,0,1,1,1,1,2.7762222115691113
ARPC5,2,0,1,0,1,1,1,1,2.7762222115691113
ATAD2,5,0,1,0,1,1,1,1,3.016600970376682
ATF1,4,0,1,0,1,1,1,1,2.8625243085250647
ATF2,4,0,1,0,1,1,1,1,3.337952700969259
ATF4,4,0,1,0,1,1,1,1,2.2292144102158566
ATF6,4,0,1,0,1,1,1,1,3.6936109402366393
ATR,5,0,1,0,1,1,1,1,3.0059712995354984
AXIN1,5,0,1,0,1,1,1,1,2.941424072983583
B2M,2,0,1,0,1,1,1,1,2.698759020242699
B2M,2,0,1,0,1,1,1,1,2.698759020242699
BCAR1,5,0,1,0,1,1,1,1,3.8786778874765986
BDNF,5,0,1,0,1,1,1,1,3.9232638905886845
BHLHE40,4,0,1,0,1,1,1,1,2.9154072824185966
BLVRA,5,0,1,0,1,1,1,1,3.2658696882121725
BUB1,5,0,1,0,1,1,1,1,2.070672159086196
CALR,2,0,1,0,1,1,1,1,3.3491438810163685
CALR,2,0,1,0,1,1,1,1,3.3491438810163685
CAMK1,5,0,1,0,1,1,1,1,2.306822805147221
CAMK1D,5,0,1,0,1,1,1,1,2.1778855737753884
CAMK2D,5,0,1,0,1,1,1,1,2.4193681904109274
CAMK2G,5,0,1,0,1,1,1,1,2.2721836569464813
CASP8AP2,5,0,1,0,1,1,1,1,2.456796476651158
CAV1,3,0,1,0,1,1,1,1,2.052767960378301
CAV1,3,0,1,0,1,1,1,1,2.052767960378301
CCNA2,5,0,1,0,1,1,1,1,2.0786401526661606
CDC73,5,0,0,1,-1,1,-1,-1,-3.5761124976065384
CDK1,5,0,1,0,1,1,1,1,3.40948671197158
CDK2,5,0,1,0,1,1,1,1,3.2047821207054876
CDK4,5,0,1,0,1,1,1,1,2.8228373536714457
CDK5,5,0,1,0,1,1,1,1,4.745623597910434
CDK9,5,0,1,0,1,1,1,1,2.570007066773161
CEBPB,4,0,1,0,1,1,1,1,2.0726820697807216
CEBPD,4,0,1,0,1,1,1,1,4.975124578094858
CHUK,5,0,1,0,1,1,1,1,2.7341213801417297
COL1A1,2,0,1,0,1,1,1,1,4.063606488508967
COL1A1,2,0,1,0,1,1,1,1,4.063606488508967
COL4A2,2,0,1,0,1,1,1,1,2.045916430192635
COL4A2,2,0,1,0,1,1,1,1,2.045916430192635
COL5A1,2,0,1,0,1,1,1,1,2.364247705481475
COL5A1,2,0,1,0,1,1,1,1,2.364247705481475
COL6A2,2,0,1,0,1,1,1,1,2.3554191956657045
COL6A2,2,0,1,0,1,1,1,1,2.3554191956657045
COPS5,5,0,1,0,1,1,1,1,5.35799976667007
CREB3,4,0,1,0,1,1,1,1,3.366863348833935
CREB3L1,4,0,1,0,1,1,1,1,4.353335756381992
CREB5,4,0,1,0,1,1,1,1,2.6413715690505364
CREBBP,5,0,1,0,1,1,1,1,2.228425112681736
CSNK2B,5,0,1,0,1,1,1,1,2.001824724637582
CSPG4,2,0,1,0,1,1,1,1,2.1573550908992676
CSPG4,2,0,1,0,1,1,1,1,2.1573550908992676
DDR2,3,0,1,0,1,1,1,1,3.782896981172612
DDR2,3,0,1,0,1,1,1,1,3.782896981172612
DDX21,5,0,1,0,1,1,1,1,2.6118436003322194
DUSP22,5,0,1,0,1,1,1,1,4.027230562941934
DVL1,5,0,1,0,1,1,1,1,2.417650120509618
E2F3,4,0,1,0,1,1,1,1,2.694073055429208
E2F4,4,0,1,0,1,1,1,1,5.624548966270918
E2F7,4,0,1,0,1,1,1,1,3.1921969570709017
EGLN1,5,0,1,0,1,0,1,1,NA
EGR1,4,0,1,0,1,1,1,1,9.096442003971497
ELK1,4,0,1,0,1,1,1,1,5.9063206704002855
ELK4,4,0,1,0,1,1,1,1,2.0664720059353434
ENG,3,0,1,0,1,1,1,1,2.475883951120604
ENG,3,0,1,0,1,1,1,1,2.475883951120604
EPAS1,4,0,1,0,1,1,1,1,6.29985200317142
ETS1,4,0,1,0,1,1,1,1,9.57598848032533
ETV4,4,0,1,0,1,1,1,1,5.039177426778497
FER,5,0,1,0,1,1,1,1,2.5021887750081824
FGFR3,5,0,1,0,1,1,1,1,2.240203209673128
FN1,2,0,1,0,1,1,1,1,2.8585294435975834
FN1,2,0,1,0,1,1,1,1,2.8585294435975834
FOSL1,4,0,1,0,1,1,1,1,3.2551922422777384
FOSL2,4,0,1,0,1,1,1,1,4.460367853139472
FOXM1,4,0,1,0,1,1,1,1,2.274314802276433
GATA2,4,0,0,1,-1,1,-1,-1,-4.342361335299576
GATA3,4,0.56,0.44,0,0.44,0,0.44,1,NA
Gene1026__MTR,0,0,1,0,1,0,1,1,NA
Gene1766__orphanReacr1435,0,0.4,0.6,0,0.6,0,0.6,1,NA
Gene3636__GOT1,0,0.8,0.2,0,0.2,0,0.2,1,NA
Gene3840__AHCY,0,0.5,0.5,0,0.5,0,0.5,1,NA
Gene3840__AHCYL1,0,0.5,0.5,0,0.5,0,0.5,1,NA
Gene4449__HDLBP_reverse,0,0,1,0,1,0,1,1,NA
Gene4788__NSD1,0,0.63,0.37,0,0.37,0,0.37,1,NA
Gene4789__NSD1,0,0.64,0.36,0,0.36,0,0.36,1,NA
Gene5472__GOT1,0,0.8,0.2,0,0.2,0,0.2,1,NA
Gene5761__GOT1,0,0.82,0.18,0,0.18,0,0.18,1,NA
Gene6254__PLD2,0,0.53,0.47,0,0.47,0,0.47,1,NA
Gene6581__orphanReac3MHISc_reverse,0,0,1,0,1,0,1,1,NA
Gene7347__GOT1_reverse,0,0,1,0,1,0,1,1,NA
Gene7350__GOT1,0,0.76,0.24,0,0.24,0,0.24,1,NA
Gene7548__SHMT1_reverse,0,0.47,0.53,0,0.53,0,0.53,1,NA
Gene7549__GLUL,0,0,1,0,1,0,1,1,NA
Gene808__SHMT1_reverse,0,0.6,0.4,0,0.4,0,0.4,1,NA
Gene8252__NSD1,0,0.73,0.27,0,0.27,0,0.27,1,NA
Gene965__GOT1,0,0.82,0.18,0,0.18,0,0.18,1,NA
GOT1,0,0,1,0,1,0,1,1,NA
HDLBP,5,0,1,0,1,0,1,1,NA
HIF1A,4,0,1,0,1,1,1,1,7.994979356778739
HRAS,2,0,1,0,1,1,1,1,4.753481381052843
HSF1,4,0,1,0,1,1,1,1,3.8896867078602786
HSP90AA1,5,0,1,0,1,1,1,1,2.1563454410301923
HSP90AA1,5,0,1,0,1,1,1,1,2.1563454410301923
HSP90B1,2,0,1,0,1,1,1,1,2.334132937430846
HSP90B1,2,0,1,0,1,1,1,1,2.334132937430846
HSPA8,2,0,1,0,1,1,1,1,4.05127881076298
HSPA8,2,0,1,0,1,1,1,1,4.05127881076298
IGF2R,3,0,1,0,1,1,1,1,2.7096809492828244
IGF2R,3,0,1,0,1,1,1,1,2.7096809492828244
IKBKG,5,0,1,0,1,1,1,1,2.4384988899892805
IRAK1,5,0,1,0,1,1,1,1,2.914362868823812
ITGA5,3,0,1,0,1,1,1,1,2.1745286259702423
ITGA5,3,0,1,0,1,1,1,1,2.1745286259702423
ITGB1,3,0,1,0,1,1,1,1,2.1036653123819984
ITGB1,3,0,1,0,1,1,1,1,2.1036653123819984
JUN,4,0,1,0,1,1,1,1,3.2428634441174666
JUNB,4,0,1,0,1,1,1,1,2.8472856008144998
JUND,4,0,1,0,1,1,1,1,3.8449591058781323
KAT2A,5,0,1,0,1,1,1,1,3.2985259305704133
KAT5,5,0,1,0,1,1,1,1,2.839828011951134
KDM4C,5,0,1,0,1,1,1,1,3.1999715396124735
KLF4,4,0,1,0,1,1,1,1,2.625693151225416
KLF5,4,0,1,0,1,1,1,1,3.315591770164738
KMT2A,4,0,0,1,-1,1,-1,-1,-2.875650353092191
LDLR,3,0,1,0,1,1,1,1,2.158884503288251
LDLR,3,0,1,0,1,1,1,1,2.158884503288251
LGALS3,2,0,1,0,1,1,1,1,2.106883070449137
LGALS3,2,0,1,0,1,1,1,1,2.106883070449137
LRP1,3,0,1,0,1,1,1,1,2.174897589327915
LRP1,3,0,1,0,1,1,1,1,2.174897589327915
LYN,5,0,1,0,1,1,1,1,3.9068528353142407
MAD2L2,5,0,1,0,1,1,1,1,2.152963051028891
MAP2K1,5,0,1,0,1,1,1,1,5.2881935708868735
MAP2K2,5,0,1,0,1,1,1,1,4.0182458398987855
MAP2K4,5,0,1,0,1,1,1,1,3.3553496072949165
MAP3K14,5,0,1,0,1,1,1,1,3.13038483146761
MAP3K7,5,0,1,0,1,1,1,1,3.192801716502693
MAPK1,5,0,1,0,1,1,1,1,4.658589589597749
MAPK11,5,0,1,0,1,1,1,1,3.5072203901440235
MAPK12,5,0,1,0,1,1,1,1,3.415104461472573
MAPK14,5,0,1,0,1,1,1,1,4.446756091936273
MAPK3,5,0,1,0,1,1,1,1,5.225808942337251
MAPK7,5,0,1,0,1,1,1,1,3.8053202753517064
MAPK8,5,0,1,0,1,1,1,1,4.8778313098299595
MAPK9,5,0,1,0,1,1,1,1,3.89971687374065
MAPKAPK2,5,0,1,0,1,1,1,1,3.7136585410585448
MAPKAPK5,5,0,1,0,1,1,1,1,3.441321510958576
MAX,4,0,1,0,1,1,1,1,2.1816583654848243
MAZ,4,0,1,0,1,1,1,1,3.7418696700491836
MCPH1,5,0,1,0,1,1,1,1,2.0514607499125472
MDK,2,0,1,0,1,1,1,1,2.6993101484450257
MDK,2,0,1,0,1,1,1,1,2.6993101484450257
MDM2,5,0,1,0,1,1,1,1,2.9243724584402977
MEIS2,4,0,0,1,-1,1,-1,-1,-2.274328516935841
MEN1,5,0,0,1,-1,0,-1,-1,NA
MET,5,0,1,0,1,1,1,1,3.2054048598582856
Metab__HMDB0000067_c,0,0,1,0,1,0,1,1,NA
Metab__HMDB0000148_c,0,0,1,0,1,0,1,1,NA
Metab__HMDB0000159_c,1,0,1,0,1,1,1,1,2.277
Metab__HMDB0000177_c,1,0,1,0,1,1,1,1,4.050666666666666
Metab__HMDB0000187_c,1,0,1,0,1,1,1,1,2.31
Metab__HMDB0000187_m,1,0,1,0,1,1,1,1,2.31
Metab__HMDB0000641_c,1,0,1,0,1,1,1,1,3.7756666666666665
Metab__HMDB0000696_c,1,0,1,0,1,1,1,1,3.080333333333334
Metab__HMDB0000742_c,0,0,1,0,1,0,1,1,NA
Metab__HMDB0000939_c,0,0,1,0,1,0,1,1,NA
MIF,1,0,1,0,1,1,1,1,2.921587878749427
MIF,1,0,1,0,1,1,1,1,2.921587878749427
MMP2,1,0,1,0,1,1,1,1,2.665088887948835
MMP2,1,0,1,0,1,1,1,1,2.665088887948835
MNAT1,5,0,1,0,1,1,1,1,2.220298500505942
MNT,4,0,1,0,1,1,1,1,2.7431145589134758
MTOR,5,0,1,0,1,1,1,1,3.877425233685843
MUC1,0,0.75,0.25,0,0.25,0,0.25,1,NA
MXI1,4,0,1,0,1,1,1,1,2.4953789410000997
MYC,4,0,1,0,1,1,1,1,10.482765755035986
NCL,3,0,1,0,1,1,1,1,2.6023069100666465
NCL,3,0,1,0,1,1,1,1,2.6023069100666465
NDN,5,0,1,0,1,1,1,1,2.0749827963335417
NFE2L2,4,0,1,0,1,1,1,1,4.378728336662853
NFIC,4,0,1,0,1,1,1,1,2.8596778227081994
NFKB1,4,0,1,0,1,1,1,1,4.761595698581151
NFYA,4,0,1,0,1,1,1,1,2.8634165352026066
NFYB,4,0,1,0,1,1,1,1,3.419174423881519
NMI,5,0,0,1,-1,1,-1,-1,-2.6150324624216834
NR1H2,4,0,1,0,1,1,1,1,3.447697761687705
NSD1,5,0,1,0,1,1,1,1,2.1874133042552018
PAK1,5,0,0,1,-1,0,-1,-1,NA
PARP1,5,0,1,0,1,1,1,1,2.923964961505688
PCNA,5,0,1,0,1,1,1,1,2.312925894464963
PDIA3,5,0,1,0,1,1,1,1,3.0026935850008885
PDPK1,5,0,1,0,1,1,1,1,2.8854567327067207
PELP1,5,0,1,0,1,1,1,1,3.1223459443746027
PIAS1,5,0,0,1,-1,0,-1,-1,NA
PIAS3,5,0,1,0,1,1,1,1,2.695137458736755
PIK3R1,5,0,1,0,1,1,1,1,4.086450964275248
PIM1,5,0,1,0,1,1,1,1,2.5356979390998697
PIN1,5,0,1,0,1,1,1,1,2.6842403157241432
PKM,5,0,1,0,1,1,1,1,3.649047578393917
PKM,5,0,1,0,1,1,1,1,3.649047578393917
PKN1,5,0,1,0,1,1,1,1,2.9993809591945855
PLAU,2,0,1,0,1,1,1,1,3.1434353916056494
PLAU,2,0,1,0,1,1,1,1,3.1434353916056494
PLAUR,3,0,1,0,1,1,1,1,4.105040975715806
PLAUR,3,0,1,0,1,1,1,1,4.105040975715806
PLD2,0,0.53,0.47,0,0.47,0,0.47,1,NA
PLK1,5,0,1,0,1,1,1,1,2.219970092415468
PPP1CA,5,0,0,1,-1,1,-1,-1,-2.8007076038265524
PPP2CA,5,0,1,0,1,1,1,1,3.540322283620618
PPP2R5A,5,0,1,0,1,1,1,1,3.990469514795444
PPP2R5D,5,0,0,1,-1,1,-1,-1,-2.5917573567467582
PRKACA,5,0,1,0,1,1,1,1,3.2296618225889007
PRKCA,5,0,1,0,1,1,1,1,4.339459313338045
PRKCD,5,0,1,0,1,1,1,1,3.71310965238864
PRKDC,5,0,1,0,1,1,1,1,4.6921319472079395
PTK2B,5,0,1,0,1,1,1,1,3.178359923550053
PTPN11,5,0,1,0,1,1,1,1,2.082728126227644
PXK,5,0,1,0,1,1,1,1,2.6508300126175306
RAC1,5,0,1,0,1,1,1,1,3.791246352216086
RAF1,5,0,1,0,1,1,1,1,2.597867947265015
RALA,5,0,1,0,1,1,1,1,3.283036049442383
RARA,4,0,1,0,1,1,1,1,3.5649863634228356
RELA,4,0,1,0,1,1,1,1,2.224992878107229
RFX1,4,0,0,1,-1,1,-1,-1,-2.2258409516744435
RHOA,5,0,1,0,1,1,1,1,3.8896810883556516
RIPK2,5,0,1,0,1,1,1,1,4.828162874277889
ROCK1,5,0,1,0,1,1,1,1,2.189620515448496
RPS6KA1,5,0,1,0,1,1,1,1,2.939164009144935
RPS6KA3,5,0,1,0,1,1,1,1,3.531417857611983
RPS6KA4,5,0,1,0,1,1,1,1,3.407309649053775
RUNX1,4,0.75,0.25,0,0.25,0,0.25,1,NA
RUNX2,4,0.75,0.25,0,0.25,0,0.25,1,NA
RXRA,4,0,1,0,1,1,1,1,3.438044842295564
SEMA7A,2,0,1,0,1,1,1,1,2.114909873252378
SEMA7A,2,0,1,0,1,1,1,1,2.114909873252378
SERPINE1,2,0,1,0,1,1,1,1,3.9259536529347314
SERPINE1,2,0,1,0,1,1,1,1,3.9259536529347314
SHMT1,0,0.47,0.53,0,0.53,0,0.53,1,NA
SMAD1,4,0,1,0,1,1,1,1,2.2271384837527486
SMAD2,5,0,1,0,1,1,1,1,2.279932298491004
SMAD3,3,0,1,0,1,1,1,1,2.585697910886446
SMAD4,4,0,1,0,1,1,1,1,2.2509708085362674
SMAD5,4,0,1,0,1,1,1,1,2.3140543915851906
SMAD7,5,0,1,0,1,1,1,1,2.049169373415442
SMARCA4,5,0.44,0.56,0,0.56,0,0.56,1,NA
SMARCB1,5,0,1,0,1,1,1,1,2.683138329382019
SOX9,4,0,0,1,-1,0,-1,-1,NA
SP1,4,0,1,0,1,1,1,1,7.225805486597667
SP3,4,0,1,0,1,1,1,1,4.206937339974755
SPAG9,5,0,1,0,1,1,1,1,3.286978817171623
SPARC,2,0,1,0,1,1,1,1,3.752522902987304
SPARC,2,0,1,0,1,1,1,1,3.752522902987304
SRC,5,0,1,0,1,1,1,1,2.224071417715789
SRCAP,5,0,1,0,1,1,1,1,2.055163140289246
SREBF1,4,0,1,0,1,1,1,1,3.5099707634544686
SREBF2,4,0,1,0,1,1,1,1,4.115390040238896
SRF,4,0,1,0,1,1,1,1,10.732240365405335
SRPK2,5,0,1,0,1,1,1,1,3.164635238747836
STAT3,4,0,1,0,1,1,1,1,6.009057695587662
STK11,5,0,1,0,1,1,1,1,2.054515915798922
STK16,5,0,1,0,1,1,1,1,4.1701794853053675
TBK1,5,0,1,0,1,1,1,1,2.0232472393272967
TBP,4,0,1,0,1,1,1,1,4.905845323093354
TCF3,4,0,1,0,1,1,1,1,2.370989149921383
TFAP2A,4,0,1,0,1,1,1,1,5.2904294403141945
TFDP1,4,0,1,0,1,1,1,1,4.522034351007588
TFDP2,5,0,1,0,1,1,1,1,2.344622951513298
TFRC,3,0,1,0,1,1,1,1,3.447397164796183
TFRC,3,0,1,0,1,1,1,1,3.447397164796183
TGFB1,2,0,1,0,1,1,1,1,2.068935414623429
TGFBR1,3,0,1,0,1,1,1,1,2.0808932225190255
THBS1,2,0,1,0,1,1,1,1,3.2658489452991826
THBS1,2,0,1,0,1,1,1,1,3.2658489452991826
THRA,4,0,1,0,1,1,1,1,2.114193095043899
TIMP1,1,0,1,0,1,1,1,1,2.5245088608917254
TIMP1,1,0,1,0,1,1,1,1,2.5245088608917254
TIMP2,2,0,1,0,1,1,1,1,2.5909586701056866
TIMP2,2,0,1,0,1,1,1,1,2.5909586701056866
TP53,4,0,1,0,1,1,1,1,3.275818429971405
TRAF2,5,0,1,0,1,1,1,1,2.4896740596724256
TRAF6,5,0,1,0,1,1,1,1,2.6002663184317076
TWIST1,4,0,1,0,1,1,1,1,2.1164571784966406
TXN,5,0,1,0,1,1,1,1,2.8221542360560954
USF1,4,0,1,0,1,1,1,1,6.950314552851219
USF2,4,0,1,0,1,1,1,1,5.05788516722874
VDR,4,0,1,0,1,1,1,1,5.920458510394183
VIM,1,0,1,0,1,1,1,1,3.989649413583462
VIM,1,0,1,0,1,1,1,1,3.989649413583462
VRK1,5,0,1,0,1,1,1,1,2.05331735913871
WNK1,5,0,1,0,1,1,1,1,4.120984451767392
ZEB1,4,0,1,0,1,1,1,1,3.3641336624986833
ZMIZ1,5,0,1,0,1,1,1,1,3.7139763799167707
