Node1,Sign,Node2,Weight
ACVR1,1,ETS1,1
ACVR1,1,MDM2,1
ACVR1,1,SMAD1,1
ACVR1,1,SMAD5,1
ACVR1B,1,MAPK8,1
ACVR1B,1,SMAD2,1
ADAM12,1,ITGB1,1
AKT3,1,CHUK,1
AKT3,1,CREB3,1
AKT3,1,JUN,1
AKT3,1,MDM2,1
AKT3,1,PRKACA,1
APEX1,1,ARNT,1
APEX1,1,FOSL1,1
APEX1,1,STAT3,1
APEX1,1,TP53,1
APEX1,1,TXN,1
ARNT,1,EGLN1,1
ARNT,1,ETS1,1
ARNT,1,HIF1A,1
ARNT,1,TGFB1,1
ATAD2,1,MYC,1
ATF1,1,JUN,1
ATF2,1,JUN,1
ATF2,1,MMP2,1
ATF2,1,PCNA,1
ATF4,1,CEBPB,1
ATF4,1,DDR2,1
ATF6,1,HSP90B1,1
ATR,1,PRKDC,1
ATR,1,TP53,1
AXIN1,-1,PIAS1,1
AXIN1,1,MYC,1
BCAR1,1,MAPK8,1
BCAR1,1,PIK3R1,1
BDNF,1,CDK5,1
BDNF,1,STAT3,1
BLVRA,1,ATF2,1
BLVRA,1,JUN,1
BLVRA,1,JUND,1
BUB1,1,MDM2,1
BUB1,1,NCL,1
BUB1,1,PLK1,1
BUB1,1,SMARCA4,0.56
BUB1,1,TP53,1
CAMK1,1,ATF1,1
CAMK1,1,ATF2,1
CAMK1,1,ATF4,1
CAMK1,1,CREB3,1
CAMK1,1,CREB3L1,1
CAMK1,1,CREB5,1
CAMK1D,1,ATF2,1
CAMK1D,1,ATF4,1
CAMK1D,1,CREB3,1
CAMK1D,1,CREB3L1,1
CAMK1D,1,CREB5,1
CAMK2D,1,ATF2,1
CAMK2D,1,ATF4,1
CAMK2D,1,CREB3,1
CAMK2D,1,CREB3L1,1
CAMK2D,1,CREB5,1
CAMK2D,1,PRKACA,1
CAMK2D,1,PRKCD,1
CAMK2G,1,ATF1,1
CAMK2G,1,ATF2,1
CAMK2G,1,ATF4,1
CAMK2G,1,CREB3,1
CAMK2G,1,CREB3L1,1
CAMK2G,1,CREB5,1
CAMK2G,1,MAP3K7,1
CAMK2G,1,PRKACA,1
CASP8AP2,1,NFKB1,1
CCNA2,1,TFDP1,1
CCNA2,1,TP53,1
CDC73,-1,MYC,1
CDK1,-1,PPP1CA,1
CDK1,1,BUB1,1
CDK1,1,CSNK2B,1
CDK1,1,KAT5,1
CDK1,1,PKN1,1
CDK1,1,PLK1,1
CDK1,1,RXRA,1
CDK1,1,SREBF1,1
CDK1,1,TP53,1
CDK2,-1,PAK1,1
CDK2,-1,PPP1CA,1
CDK2,1,AXIN1,1
CDK2,1,CCNA2,1
CDK2,1,CEBPB,1
CDK2,1,MYC,1
CDK2,1,NFYA,1
CDK2,1,PELP1,1
CDK2,1,TFDP1,1
CDK2,1,TP53,1
CDK4,1,ETS1,1
CDK4,1,NCL,1
CDK4,1,PELP1,1
CDK4,1,PKM,1
CDK5,-1,PAK1,1
CDK5,-1,PPP1CA,1
CDK5,1,ETS1,1
CDK5,1,MAPK7,1
CDK5,1,SRC,1
CDK5,1,SRF,1
CDK5,1,STAT3,1
CDK5,1,TP53,1
