Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
ABL2,,0.75,0.25,0,0.25,0,0.25
ACVR1,P,0,1,0,1,1,1
ACVR1B,P,0,1,0,1,1,1
ADAM12,M,0,1,0,1,1,1
AKT3,P,0,1,0,1,1,1
APEX1,P,0,1,0,1,1,1
ARNT,P,0,1,0,1,1,1
ARPC5,M,0,1,0,1,1,1
ATAD2,P,0,1,0,1,1,1
ATF1,P,0,1,0,1,1,1
ATF2,P,0,1,0,1,1,1
ATF4,P,0,1,0,1,1,1
ATF6,P,0,1,0,1,1,1
ATR,P,0,1,0,1,1,1
AXIN1,P,0,1,0,1,1,1
B2M,M,0,1,0,1,1,1
BCAR1,P,0,1,0,1,1,1
BDNF,P,0,1,0,1,1,1
BLVRA,P,0,1,0,1,1,1
BUB1,P,0,1,0,1,1,1
CALR,M,0,1,0,1,1,1
CAMK1,P,0,1,0,1,1,1
CAMK1D,P,0,1,0,1,1,1
CAMK2D,P,0,1,0,1,1,1
CAMK2G,P,0,1,0,1,1,1
CASP8AP2,P,0,1,0,1,1,1
CAV1,M,0,1,0,1,1,1
CCNA2,P,0,1,0,1,1,1
CDC73,P,0,0,1,-1,1,-1
CDK1,P,0,1,0,1,1,1
CDK2,P,0,1,0,1,1,1
CDK4,P,0,1,0,1,1,1
CDK5,P,0,1,0,1,1,1
CDK9,P,0,1,0,1,1,1
CEBPB,P,0,1,0,1,1,1
CHUK,P,0,1,0,1,1,1
COL1A1,M,0,1,0,1,1,1
COPS5,P,0,1,0,1,1,1
CREB3,P,0,1,0,1,1,1
CREB5,P,0,1,0,1,1,1
CREBBP,P,0,1,0,1,1,1
CSNK2B,P,0,1,0,1,1,1
CSPG4,M,0,1,0,1,1,1
DDR2,M,0,1,0,1,1,1
DDX21,P,0,1,0,1,1,1
DUSP22,P,0,1,0,1,1,1
DVL1,P,0,1,0,1,1,1
E2F3,P,0,1,0,1,1,1
E2F4,P,0,1,0,1,1,1
E2F7,P,0,1,0,1,1,1
EGR1,P,0,1,0,1,1,1
ELK1,P,0,1,0,1,1,1
ELK4,P,0,1,0,1,1,1
ENG,M,0,1,0,1,1,1
EPAS1,P,0,1,0,1,1,1
ETS1,P,0,1,0,1,1,1
ETV4,P,0,1,0,1,1,1
FER,P,0,1,0,1,1,1
FGFR3,P,0,1,0,1,1,1
FN1,M,0,1,0,1,1,1
FOSL1,P,0,1,0,1,1,1
FOSL2,P,0,1,0,1,1,1
FOXM1,P,0,1,0,1,1,1
GATA2,P,0,0,1,-1,1,-1
HIF1A,P,0,1,0,1,1,1
HRAS,P,0,1,0,1,1,1
HSF1,P,0,1,0,1,1,1
HSP90AA1,M,0,1,0,1,1,1
HSP90B1,M,0,1,0,1,1,1
HSPA8,M,0,1,0,1,1,1
IGF2R,M,0,1,0,1,1,1
IKBKG,P,0,1,0,1,1,1
IRAK1,P,0,1,0,1,1,1
ITGA5,M,0,1,0,1,1,1
ITGB1,M,0,1,0,1,1,1
JUN,P,0,1,0,1,1,1
JUNB,P,0,1,0,1,1,1
JUND,P,0,1,0,1,1,1
KAT2A,P,0,1,0,1,1,1
KAT5,P,0,1,0,1,1,1
KDM4C,P,0,1,0,1,1,1
KLF4,P,0,1,0,1,1,1
KLF5,P,0,1,0,1,1,1
KMT2A,P,0,0,1,-1,1,-1
LDLR,M,0,1,0,1,1,1
LGALS3,M,0,1,0,1,1,1
LRP1,M,0,1,0,1,1,1
LYN,P,0,1,0,1,1,1
MAD2L2,P,0,1,0,1,1,1
MAP2K1,P,0,1,0,1,1,1
MAP2K2,P,0,1,0,1,1,1
MAP2K4,P,0,1,0,1,1,1
MAP3K14,P,0,1,0,1,1,1
MAP3K7,P,0,1,0,1,1,1
MAPK1,P,0,1,0,1,1,1
MAPK11,P,0,1,0,1,1,1
MAPK12,P,0,1,0,1,1,1
MAPK14,P,0,1,0,1,1,1
MAPK3,P,0,1,0,1,1,1
MAPK7,P,0,1,0,1,1,1
MAPK8,P,0,1,0,1,1,1
MAPK9,P,0,1,0,1,1,1
MAPKAPK2,P,0,1,0,1,1,1
MAPKAPK5,P,0,1,0,1,1,1
MAX,P,0,1,0,1,1,1
MCPH1,P,0,1,0,1,1,1
MDM2,P,0,1,0,1,1,1
MEIS2,P,0,0,1,-1,1,-1
MET,P,0,1,0,1,1,1
MIF,M,0,1,0,1,1,1
MMP2,M,0,1,0,1,1,1
MNAT1,P,0,1,0,1,1,1
MTOR,P,0,1,0,1,1,1
MUC1,,0.75,0.25,0,0.25,0,0.25
MXI1,P,0,1,0,1,1,1
MYC,P,0,1,0,1,1,1
NCL,M,0,1,0,1,1,1
NDN,P,0,1,0,1,1,1
NFE2L2,P,0,1,0,1,1,1
NFIC,P,0,1,0,1,1,1
NFKB1,P,0,1,0,1,1,1
NFYA,P,0,1,0,1,1,1
NFYB,P,0,1,0,1,1,1
NMI,P,0,0,1,-1,1,-1
NR1H2,P,0,1,0,1,1,1
NSD1,P,0,1,0,1,1,1
PARP1,P,0,1,0,1,1,1
PCNA,P,0,1,0,1,1,1
PDIA3,P,0,1,0,1,1,1
PDPK1,P,0,1,0,1,1,1
PELP1,P,0,1,0,1,1,1
PIAS3,P,0,1,0,1,1,1
PIK3R1,P,0,1,0,1,1,1
PIM1,P,0,1,0,1,1,1
PIN1,P,0,1,0,1,1,1
PKM,M,0,1,0,1,1,1
PKN1,P,0,1,0,1,1,1
PLAU,M,0,1,0,1,1,1
PLAUR,M,0,1,0,1,1,1
PLK1,P,0,1,0,1,1,1
PPP1CA,P,0,0,1,-1,1,-1
PPP2CA,P,0,1,0,1,1,1
PPP2R5A,P,0,1,0,1,1,1
PPP2R5D,P,0,0,1,-1,1,-1
PRKACA,P,0,1,0,1,1,1
PRKCA,P,0,1,0,1,1,1
PRKCD,P,0,1,0,1,1,1
PRKDC,P,0,1,0,1,1,1
PTK2B,P,0,1,0,1,1,1
PTPN11,P,0,1,0,1,1,1
PXK,P,0,1,0,1,1,1
RAC1,P,0,1,0,1,1,1
RAF1,P,0,1,0,1,1,1
RALA,P,0,1,0,1,1,1
RARA,P,0,1,0,1,1,1
RELA,P,0,1,0,1,1,1
RFX1,P,0,0,1,-1,1,-1
RHOA,P,0,1,0,1,1,1
RIPK2,P,0,1,0,1,1,1
ROCK1,P,0,1,0,1,1,1
RPS6KA1,P,0,1,0,1,1,1
RPS6KA3,P,0,1,0,1,1,1
RPS6KA4,P,0,1,0,1,1,1
RUNX1,,0.75,0.25,0,0.25,0,0.25
RUNX2,,0.75,0.25,0,0.25,0,0.25
RXRA,P,0,1,0,1,1,1
SERPINE1,M,0,1,0,1,1,1
SMAD1,P,0,1,0,1,1,1
SMAD2,P,0,1,0,1,1,1
SMAD3,P,0,1,0,1,1,1
SMAD4,P,0,1,0,1,1,1
SMAD5,P,0,1,0,1,1,1
SMAD7,P,0,1,0,1,1,1
SMARCB1,P,0,1,0,1,1,1
SP1,P,0,1,0,1,1,1
SP3,P,0,1,0,1,1,1
SPAG9,P,0,1,0,1,1,1
SPARC,M,0,1,0,1,1,1
SRC,P,0,1,0,1,1,1
SRCAP,P,0,1,0,1,1,1
SREBF1,P,0,1,0,1,1,1
SREBF2,P,0,1,0,1,1,1
SRF,P,0,1,0,1,1,1
SRPK2,P,0,1,0,1,1,1
STAT3,P,0,1,0,1,1,1
STK11,P,0,1,0,1,1,1
STK16,P,0,1,0,1,1,1
TBK1,P,0,1,0,1,1,1
TBP,P,0,1,0,1,1,1
TCF3,P,0,1,0,1,1,1
TFAP2A,P,0,1,0,1,1,1
TFDP1,P,0,1,0,1,1,1
TFDP2,P,0,1,0,1,1,1
TFRC,M,0,1,0,1,1,1
TGFB1,P,0,1,0,1,1,1
TGFBR1,P,0,1,0,1,1,1
THBS1,M,0,1,0,1,1,1
THRA,P,0,1,0,1,1,1
TIMP1,M,0,1,0,1,1,1
TP53,P,0,1,0,1,1,1
TRAF2,P,0,1,0,1,1,1
TRAF6,P,0,1,0,1,1,1
TWIST1,P,0,1,0,1,1,1
TXN,P,0,1,0,1,1,1
USF1,P,0,1,0,1,1,1
USF2,P,0,1,0,1,1,1
VDR,P,0,1,0,1,1,1
VIM,M,0,1,0,1,1,1
VRK1,P,0,1,0,1,1,1
WNK1,P,0,1,0,1,1,1
ZMIZ1,P,0,1,0,1,1,1
