Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
ABL1,,0.6,0,0.4,-0.4,0,-0.4
ACO1,,0,1,0,1,0,1
ANO9,P,0,0,1,-1,1,-1
ATAD2,P,0,1,0,1,1,1
ATM,P,0,1,0,1,1,1
ATR,,0.42,0,0.58,-0.58,0,-0.58
AXIN1,P,0,1,0,1,1,1
BCL6,,0.82,0.18,0,0.18,0,0.18
BRD4,P,0,0,1,-1,1,-1
CCNA2,P,0,1,0,1,1,1
CCNE1,P,0,1,0,1,1,1
CDC73,P,0,0,1,-1,1,-1
CDK1,P,0,1,0,1,1,1
CDK2,P,0,1,0,1,1,1
CEBPB,,0.42,0.58,0,0.58,0,0.58
CHUK,P,0,1,0,1,1,1
COPS5,P,0,1,0,1,1,1
CREB3,M,0,1,0,1,1,1
CSNK2A1,,0.8,0.2,0,0.2,0,0.2
CTCF,M,0,0,1,-1,1,-1
CUL1,P,0,1,0,1,1,1
DDB1,P,0,1,0,1,1,1
E2F2,M,0,1,0,1,1,1
E2F3,M,0,1,0,1,1,1
E2F4,M,0,1,0,1,1,1
E2F5,M,0,1,0,1,1,1
ELAVL1,P,0,0,1,-1,1,-1
EP300,,0,0,1,-1,0,-1
FYN,,0.7,0.3,0,0.3,0,0.3
GATA3,M,0,0,1,-1,1,-1
Gene168800001__SLC25A1,,0.95,0.05,0,0.05,0,0.05
Gene17300002__SLC38A2,,0,1,0,1,0,1
Gene220500001__SLC25A1,,0.78,0.22,0,0.22,0,0.22
Gene220800002__SLC25A1,,0.97,0.03,0,0.03,0,0.03
Gene221400002__SLC25A1,,0.86,0.14,0,0.14,0,0.14
Gene2346__PKM_reverse,,0,1,0,1,0,1
Gene3825__ACO1_reverse,,0.51,0.49,0,0.49,0,0.49
Gene559100002__SLC38A2,,0,1,0,1,0,1
Gene5592__GPT2,,0.49,0.51,0,0.51,0,0.51
Gene616500001__SLC25A1,,0.92,0.08,0,0.08,0,0.08
Gene616700002__SLC25A1,,0.79,0.21,0,0.21,0,0.21
Gene618000003__SLC25A1,,0.98,0.02,0,0.02,0,0.02
Gene619000001__SLC25A1,,0.07,0.93,0,0.93,0,0.93
Gene619100001__SLC25A1,,0.93,0.07,0,0.07,0,0.07
Gene6248__PLD2,,0.38,0.62,0,0.62,0,0.62
Gene738300002__SLC38A2,,0,1,0,1,0,1
Gene94600002__SLC5A3,,0.62,0.38,0,0.38,0,0.38
Gene97__ACO1_reverse,,0.68,0.32,0,0.32,0,0.32
Gene9711__ACO1_reverse,,0.71,0.29,0,0.29,0,0.29
Gene982500001__SLC25A1,,0.85,0.15,0,0.15,0,0.15
GSK3A,P,0,0,1,-1,1,-1
GSK3B,,0.87,0,0.13,-0.13,0,-0.13
GSTP1,P,0,1,0,1,1,1
HDAC2,P,0,0,1,-1,1,-1
HIF1A,,0.7,0.3,0,0.3,0,0.3
HSF1,M,0,1,0,1,1,1
ID1,,0,1,0,1,0,1
IL27RA,P,0,0,1,-1,1,-1
KAT2A,P,0,1,0,1,1,1
KAT5,P,0,1,0,1,1,1
KMT2A,M,0,0,1,-1,1,-1
MAPK1,P,0,1,0,1,1,1
MAPK3,P,0,1,0,1,1,1
MAPK8,,0.63,0,0.37,-0.37,0,-0.37
MCPH1,P,0,1,0,1,1,1
MDM2,P,0,1,0,1,1,1
MEF2A,M,0,0,1,-1,1,-1
MEN1,,0.58,0,0.42,-0.42,0,-0.42
Metab__HMDB0000094_c,M,0,1,0,1,1,1
Metab__HMDB0000094_m,M,0,1,0,1,1,1
Metab__HMDB0000161_c,M,0,1,0,1,1,1
Metab__HMDB0000168_c,M,0,1,0,1,1,1
Metab__HMDB0000211_c,M,0,1,0,1,1,1
Metab__HMDB0000243_c,,0.49,0.51,0,0.51,0,0.51
Metab__HMDB0000263_c,M,0,1,0,1,1,1
Metab__HMDB0000263_m,M,0,1,0,1,1,1
Metab__HMDB0000641_c,M,0,1,0,1,1,1
MIF,P,0,1,0,1,1,1
MYBL2,M,0,1,0,1,1,1
MYC,M,0,1,0,1,1,1
NCL,P,0,1,0,1,1,1
