SAMPLENAME,TITLE,panelnbr,cellnbr,pname,cellname,Value
META-8041,(p-Hydroxyphenyl)lactic acid,9,18,Renal,786-0,0.509
META-8042,(p-Hydroxyphenyl)lactic acid,9,18,Renal,786-0,1.199
META-8043,(p-Hydroxyphenyl)lactic acid,9,18,Renal,786-0,0.072
META-8041,3-phospho-d-glycerate,9,18,Renal,786-0,0.480
META-8042,3-phospho-d-glycerate,9,18,Renal,786-0,1.899
META-8043,3-phospho-d-glycerate,9,18,Renal,786-0,0.928
META-8041,"5,6-Dimethylbenzimidazole",9,18,Renal,786-0,0.960
META-8042,"5,6-Dimethylbenzimidazole",9,18,Renal,786-0,0.838
META-8043,"5,6-Dimethylbenzimidazole",9,18,Renal,786-0,0.774
META-8041,5-oxoproline,9,18,Renal,786-0,1.798
META-8042,5-oxoproline,9,18,Renal,786-0,1.890
META-8043,5-oxoproline,9,18,Renal,786-0,1.363
META-8041,6-phosphogluconic acid,9,18,Renal,786-0,0.115
META-8042,6-phosphogluconic acid,9,18,Renal,786-0,0.038
META-8043,6-phosphogluconic acid,9,18,Renal,786-0,2.024
META-8041,adenine,9,18,Renal,786-0,0.438
META-8042,adenine,9,18,Renal,786-0,0.584
META-8043,adenine,9,18,Renal,786-0,0.071
META-8041,adenosine,9,18,Renal,786-0,0.800
META-8042,adenosine,9,18,Renal,786-0,1.494
META-8043,adenosine,9,18,Renal,786-0,0.080
META-8041,alanine,9,18,Renal,786-0,0.707
META-8042,alanine,9,18,Renal,786-0,0.642
META-8043,alanine,9,18,Renal,786-0,0.642
META-8041,alpha-D-ribose 5-phosphate,9,18,Renal,786-0,4.712
META-8042,alpha-D-ribose 5-phosphate,9,18,Renal,786-0,5.364
META-8043,alpha-D-ribose 5-phosphate,9,18,Renal,786-0,3.761
META-8041,alpha-tocopherol,9,18,Renal,786-0,2.005
META-8042,alpha-tocopherol,9,18,Renal,786-0,2.938
META-8043,alpha-tocopherol,9,18,Renal,786-0,1.027
META-8041,anthranilic acid,9,18,Renal,786-0,1.359
META-8042,anthranilic acid,9,18,Renal,786-0,0.974
META-8043,anthranilic acid,9,18,Renal,786-0,1.013
META-8041,arabinose,9,18,Renal,786-0,1.567
META-8042,arabinose,9,18,Renal,786-0,1.238
META-8043,arabinose,9,18,Renal,786-0,1.168
META-8041,arginine,9,18,Renal,786-0,0.545
META-8042,arginine,9,18,Renal,786-0,0.567
META-8043,arginine,9,18,Renal,786-0,0.543
META-8041,asparagine,9,18,Renal,786-0,0.994
META-8042,asparagine,9,18,Renal,786-0,0.700
META-8043,asparagine,9,18,Renal,786-0,0.840
META-8041,aspartate,9,18,Renal,786-0,2.619
META-8042,aspartate,9,18,Renal,786-0,2.756
META-8043,aspartate,9,18,Renal,786-0,2.161
META-8041,beta-alanine,9,18,Renal,786-0,2.601
META-8042,beta-alanine,9,18,Renal,786-0,3.423
META-8043,beta-alanine,9,18,Renal,786-0,2.920
META-8041,cholesterol,9,18,Renal,786-0,1.705
META-8042,cholesterol,9,18,Renal,786-0,0.002
META-8043,cholesterol,9,18,Renal,786-0,1.576
META-8041,citric acid,9,18,Renal,786-0,0.385
META-8042,citric acid,9,18,Renal,786-0,0.509
META-8043,citric acid,9,18,Renal,786-0,0.369
META-8041,creatinine,9,18,Renal,786-0,4.826
META-8042,creatinine,9,18,Renal,786-0,5.921
META-8043,creatinine,9,18,Renal,786-0,5.275
META-8041,cysteine,9,18,Renal,786-0,0.414
META-8042,cysteine,9,18,Renal,786-0,0.070
META-8043,cysteine,9,18,Renal,786-0,0.070
META-8041,D-allose,9,18,Renal,786-0,1.114
META-8042,D-allose,9,18,Renal,786-0,1.006
META-8043,D-allose,9,18,Renal,786-0,0.994
META-8041,DL-cystathionine,9,18,Renal,786-0,1.000
META-8042,DL-cystathionine,9,18,Renal,786-0,1.527
META-8043,DL-cystathionine,9,18,Renal,786-0,1.096
META-8041,D-ribose,9,18,Renal,786-0,1.862
META-8042,D-ribose,9,18,Renal,786-0,1.137
META-8043,D-ribose,9,18,Renal,786-0,1.257
META-8041,fumaric acid,9,18,Renal,786-0,1.063
META-8042,fumaric acid,9,18,Renal,786-0,1.123
META-8043,fumaric acid,9,18,Renal,786-0,0.977
META-8041,gluconic acid,9,18,Renal,786-0,1.000
META-8042,gluconic acid,9,18,Renal,786-0,0.679
META-8043,gluconic acid,9,18,Renal,786-0,0.508
META-8041,glucose-6-phosphate,9,18,Renal,786-0,0.559
META-8042,glucose-6-phosphate,9,18,Renal,786-0,0.386
META-8043,glucose-6-phosphate,9,18,Renal,786-0,0.400
META-8041,glutamic acid,9,18,Renal,786-0,3.819
META-8042,glutamic acid,9,18,Renal,786-0,4.118
META-8043,glutamic acid,9,18,Renal,786-0,3.407
META-8041,glutamine,9,18,Renal,786-0,1.137
META-8042,glutamine,9,18,Renal,786-0,0.822
META-8043,glutamine,9,18,Renal,786-0,0.766
META-8041,glyceraldehyde,9,18,Renal,786-0,1.042
META-8042,glyceraldehyde,9,18,Renal,786-0,2.085
META-8043,glyceraldehyde,9,18,Renal,786-0,1.197
META-8041,glyceric acid,9,18,Renal,786-0,1.760
META-8042,glyceric acid,9,18,Renal,786-0,1.612
META-8043,glyceric acid,9,18,Renal,786-0,1.580
META-8041,glycerol,9,18,Renal,786-0,1.259
META-8042,glycerol,9,18,Renal,786-0,1.256
META-8043,glycerol,9,18,Renal,786-0,1.167
META-8041,glycine,9,18,Renal,786-0,2.186
META-8042,glycine,9,18,Renal,786-0,2.319
META-8043,glycine,9,18,Renal,786-0,2.128
META-8041,"gulono-1,4-lactone",9,18,Renal,786-0,2.726
META-8042,"gulono-1,4-lactone",9,18,Renal,786-0,3.282
META-8043,"gulono-1,4-lactone",9,18,Renal,786-0,2.772
META-8041,histidine,9,18,Renal,786-0,1.013
META-8042,histidine,9,18,Renal,786-0,1.006
META-8043,histidine,9,18,Renal,786-0,0.791
META-8041,hypotaurine,9,18,Renal,786-0,0.756
META-8042,hypotaurine,9,18,Renal,786-0,0.965
META-8043,hypotaurine,9,18,Renal,786-0,0.825
META-8041,inositol,9,18,Renal,786-0,1.154
META-8042,inositol,9,18,Renal,786-0,0.788
META-8043,inositol,9,18,Renal,786-0,1.128
META-8041,inositol 1-phosphate,9,18,Renal,786-0,1.851
META-8042,inositol 1-phosphate,9,18,Renal,786-0,2.026
META-8043,inositol 1-phosphate,9,18,Renal,786-0,1.902
META-8041,isoleucine,9,18,Renal,786-0,1.165
META-8042,isoleucine,9,18,Renal,786-0,1.066
META-8043,isoleucine,9,18,Renal,786-0,0.968
META-8041,lactate,9,18,Renal,786-0,5.795
META-8042,lactate,9,18,Renal,786-0,6.713
META-8043,lactate,9,18,Renal,786-0,5.550
META-8041,L-allo-threonine,9,18,Renal,786-0,0.998
META-8042,L-allo-threonine,9,18,Renal,786-0,0.806
META-8043,L-allo-threonine,9,18,Renal,786-0,0.838
META-8041,L-arabitol,9,18,Renal,786-0,2.034
META-8042,L-arabitol,9,18,Renal,786-0,1.624
META-8043,L-arabitol,9,18,Renal,786-0,1.712
META-8041,leucine,9,18,Renal,786-0,1.272
META-8042,leucine,9,18,Renal,786-0,0.940
META-8043,leucine,9,18,Renal,786-0,1.060
META-8041,malic acid,9,18,Renal,786-0,0.907
META-8042,malic acid,9,18,Renal,786-0,0.852
META-8043,malic acid,9,18,Renal,786-0,0.747
META-8041,mannose,9,18,Renal,786-0,0.085
META-8042,mannose,9,18,Renal,786-0,0.085
META-8043,mannose,9,18,Renal,786-0,0.085
META-8041,mannose-6-phosphate,9,18,Renal,786-0,1.519
META-8042,mannose-6-phosphate,9,18,Renal,786-0,0.050
META-8043,mannose-6-phosphate,9,18,Renal,786-0,0.986
META-8041,melatonin,9,18,Renal,786-0,0.200
META-8042,melatonin,9,18,Renal,786-0,0.200
META-8043,melatonin,9,18,Renal,786-0,1.349
META-8041,N(5)-(aminocarbonyl)-L-ornithine,9,18,Renal,786-0,0.644
META-8042,N(5)-(aminocarbonyl)-L-ornithine,9,18,Renal,786-0,0.838
META-8043,N(5)-(aminocarbonyl)-L-ornithine,9,18,Renal,786-0,0.505
META-8041,N-acetylneuraminic acid,9,18,Renal,786-0,2.206
META-8042,N-acetylneuraminic acid,9,18,Renal,786-0,2.260
META-8043,N-acetylneuraminic acid,9,18,Renal,786-0,2.104
META-8041,n-dodecanoate,9,18,Renal,786-0,1.123
META-8042,n-dodecanoate,9,18,Renal,786-0,0.772
META-8043,n-dodecanoate,9,18,Renal,786-0,0.793
META-8041,n-hexadecanoic acid,9,18,Renal,786-0,1.090
META-8042,n-hexadecanoic acid,9,18,Renal,786-0,1.042
META-8043,n-hexadecanoic acid,9,18,Renal,786-0,0.865
META-8041,octopamine,9,18,Renal,786-0,0.113
META-8042,octopamine,9,18,Renal,786-0,0.113
META-8043,octopamine,9,18,Renal,786-0,0.113
META-8041,oleic acid,9,18,Renal,786-0,0.474
META-8042,oleic acid,9,18,Renal,786-0,1.009
META-8043,oleic acid,9,18,Renal,786-0,1.577
META-8041,ornithine,9,18,Renal,786-0,0.846
META-8042,ornithine,9,18,Renal,786-0,0.872
META-8043,ornithine,9,18,Renal,786-0,0.773
META-8041,orotidine 5'-phosphate,9,18,Renal,786-0,0.853
META-8042,orotidine 5'-phosphate,9,18,Renal,786-0,0.517
META-8043,orotidine 5'-phosphate,9,18,Renal,786-0,0.963
META-8041,palmitoleic acid,9,18,Renal,786-0,4.170
META-8042,palmitoleic acid,9,18,Renal,786-0,1.719
META-8043,palmitoleic acid,9,18,Renal,786-0,0.800
META-8041,phosphate,9,18,Renal,786-0,1.010
META-8042,phosphate,9,18,Renal,786-0,1.133
META-8043,phosphate,9,18,Renal,786-0,0.990
META-8041,Possible Artifact-2336 (RI Ladder),9,18,Renal,786-0,1.091
META-8042,Possible Artifact-2336 (RI Ladder),9,18,Renal,786-0,1.105
META-8043,Possible Artifact-2336 (RI Ladder),9,18,Renal,786-0,1.119
META-8041,X-2911,9,18,Renal,786-0,0.236
META-8042,X-2911,9,18,Renal,786-0,0.236
META-8043,X-2911,9,18,Renal,786-0,1.033
META-8041,X-3014,9,18,Renal,786-0,2.779
META-8042,X-3014,9,18,Renal,786-0,2.538
META-8043,X-3014,9,18,Renal,786-0,2.164
META-8041,X-3016,9,18,Renal,786-0,0.305
META-8042,X-3016,9,18,Renal,786-0,0.305
META-8043,X-3016,9,18,Renal,786-0,0.305
META-8041,X-3022,9,18,Renal,786-0,0.415
META-8042,X-3022,9,18,Renal,786-0,0.415
META-8043,X-3022,9,18,Renal,786-0,0.415
META-8041,X-3034,9,18,Renal,786-0,4.062
META-8042,X-3034,9,18,Renal,786-0,4.422
META-8043,X-3034,9,18,Renal,786-0,3.500
META-8041,X-3074,9,18,Renal,786-0,1.000
META-8042,X-3074,9,18,Renal,786-0,0.951
META-8043,X-3074,9,18,Renal,786-0,0.753
META-8041,X-3085 = Inositol 2,9,18,Renal,786-0,4.177
META-8042,X-3085 = Inositol 2,9,18,Renal,786-0,4.552
META-8043,X-3085 = Inositol 2,9,18,Renal,786-0,3.775
META-8041,X-3090,9,18,Renal,786-0,1.855
META-8042,X-3090,9,18,Renal,786-0,1.764
META-8043,X-3090,9,18,Renal,786-0,1.031
META-8041,X-3091,9,18,Renal,786-0,2.604
META-8042,X-3091,9,18,Renal,786-0,1.918
META-8043,X-3091,9,18,Renal,786-0,1.074
META-8041,X-3094,9,18,Renal,786-0,1.756
META-8042,X-3094,9,18,Renal,786-0,2.023
META-8043,X-3094,9,18,Renal,786-0,1.540
META-8041,X-3101,9,18,Renal,786-0,7.150
META-8042,X-3101,9,18,Renal,786-0,4.224
META-8043,X-3101,9,18,Renal,786-0,2.289
META-8041,X-3996,9,18,Renal,786-0,3.346
META-8042,X-3996,9,18,Renal,786-0,2.887
META-8043,X-3996,9,18,Renal,786-0,2.158
META-8041,X-3998,9,18,Renal,786-0,2.958
META-8042,X-3998,9,18,Renal,786-0,2.796
META-8043,X-3998,9,18,Renal,786-0,1.927
META-8041,X-4015,9,18,Renal,786-0,1.973
META-8042,X-4015,9,18,Renal,786-0,2.057
META-8043,X-4015,9,18,Renal,786-0,1.912
META-8041,X-4019,9,18,Renal,786-0,3.616
META-8042,X-4019,9,18,Renal,786-0,3.870
META-8043,X-4019,9,18,Renal,786-0,3.391
META-8041,X-4020,9,18,Renal,786-0,5.802
META-8042,X-4020,9,18,Renal,786-0,5.557
META-8043,X-4020,9,18,Renal,786-0,4.557
META-8041,X-4027,9,18,Renal,786-0,1.082
META-8042,X-4027,9,18,Renal,786-0,1.036
META-8043,X-4027,9,18,Renal,786-0,0.964
META-8041,X-4032,9,18,Renal,786-0,0.873
META-8042,X-4032,9,18,Renal,786-0,0.628
META-8043,X-4032,9,18,Renal,786-0,0.166
META-8041,X-4043,9,18,Renal,786-0,1.007
META-8042,X-4043,9,18,Renal,786-0,0.889
META-8043,X-4043,9,18,Renal,786-0,0.948
META-8041,X-4046,9,18,Renal,786-0,0.088
META-8042,X-4046,9,18,Renal,786-0,0.088
META-8043,X-4046,9,18,Renal,786-0,0.088
META-8041,X-4051,9,18,Renal,786-0,0.157
META-8042,X-4051,9,18,Renal,786-0,1.000
META-8043,X-4051,9,18,Renal,786-0,0.613
META-8041,X-4053,9,18,Renal,786-0,6.764
