source,interaction,target
SMAD3,1,JUN
SMAD4,1,JUN
TP53,-1,RB1
YY1,1,NR3C1
IRF1,1,IRF1
FOS,-1,FOS
ETS1,1,TIMP1
ETV4,1,TIMP1
NFIC,1,CREBBP
NFIC,1,NFIC
GATA4,1,GATA4
GATA4,1,GATA6
GATA6,1,GATA4
TP53,1,JUN
JUN,-1,TP53
TP53,1,TP53
PPARG,1,SERPINE2
FOS,1,TP53
TP53,-1,FOS
SP1,1,FOS
YY1,-1,FOS
SP1,1,EGR1
EGR1,1,SP1
NR2F1,1,EGR1
JDP2,-1,LGALS1
USF1,1,USF1
CEBPB,1,DDIT3
DDIT3,1,CEBPB
ATF4,1,DDIT3
DDIT3,1,ATF4
ATF3,1,ATF4
ATF4,1,ATF3
ATF3,1,DDIT3
MAZ,-1,MAZ
RUNX1,1,FOS
HHEX,1,HHEX
TBP,1,RB1
IRF2,1,IRF2
FOS,1,TGFB1
TP73,1,TP53
TP53,1,TP73
E2F4,-1,E2F1
SP1,1,TGFB1
TBP,1,CREBBP
MSX1,-1,MSX1
RUNX2,1,RUNX2
ID1,-1,FOS
IRF1,1,IRF2
IRF2,1,IRF1
TP53,1,LITAF
LITAF,1,TP53
TP53,1,BTG2
JUN,1,ATF2
ATF2,1,JUN
HSF1,1,ICAM1
SP1,1,SP1
MEF2A,1,JUN
JUN,1,THBS1
WT1,1,THBS1
JUND,1,JUND
MAX,1,TP53
MYC,1,TP53
TP53,-1,MYC
TP53,1,NFKB1
NFKB1,1,TP53
TP53,1,RELA
RELA,1,TP53
SP1,1,SP3
SP3,1,SP1
JUN,1,JUN
SP1,-1,CEBPA
CEBPB,1,SP1
SP1,1,CEBPD
CEBPD,1,SP1
STAT6,1,CREBBP
MYC,1,BRCA1
BRCA1,1,MYC
MAZ,-1,MYC
ZNF91,-1,MYC
ATF1,1,EGR1
CREB1,1,EGR1
ID2,-1,ID3
ID3,-1,ID2
CREB1,1,MYB
EGR1,-1,EGR1
MAX,1,STAT5A
WT1,-1,WT1
SREBF1,1,PPARG
PPARG,1,SREBF1
HIF1A,1,VEGFA
SP1,1,FN1
FOS,1,FN1
JUN,1,FN1
MYC,-1,FN1
TP53,1,CREBBP
CREBBP,1,TP53
TP73,1,CREBBP
CEBPB,1,HSP90AA1
STAT3,1,HSP90AA1
STAT1,-1,HSP90AA1
HSF1,1,HSP90AA1
SP1,1,E2F1
MYC,-1,MYC
STAT5A,1,STAT5A
CREB1,-1,JUN
SP1,1,HMGA2
SP3,1,HMGA2
ATF2,1,EP300
RB1,-1,E2F1
E2F1,1,RB1
STAT3,1,JUNB
TP53,1,YY1
YY1,1,TP53
MYC,1,MAX
MAX,-1,MYC
ETS1,1,DDIT3
TP53,-1,ETS1
ETS1,1,TP53
ETS2,1,TP53
STAT5A,1,FOS
MEF2C,1,JUN
