source,target,sign,Weight
ABCC3,Enzyme8662__ABCC3,1,TRUE
ABL1,CASP9,1,TRUE
ABL1,CDK5,1,TRUE
ABL1,CDKN1B,-1,TRUE
ABL1,DDB2,-1,TRUE
ABL1,PLK1,1,TRUE
ABL1,PXN,1,TRUE
ABL1,RAPGEF1,1,TRUE
ACTB,ABL1,-1,TRUE
ACTB,ARPC2,1,TRUE
ACTB,CTTN,1,TRUE
ANAPC10,ANAPC11,1,TRUE
ANAPC10,ANAPC2,1,TRUE
ANAPC10,ANAPC4,1,TRUE
ANAPC10,ANAPC5,1,TRUE
ANAPC10,ANAPC7,1,TRUE
ANAPC10,CDC16,1,TRUE
ANAPC10,CDC23,1,TRUE
ANAPC10,CDC27,1,TRUE
ANAPC10,FZR1,1,TRUE
ANAPC11,ANAPC10,1,TRUE
ANAPC11,ANAPC2,1,TRUE
ANAPC11,CDC16,1,TRUE
ANAPC13,CDC23,1,TRUE
ANAPC2,ANAPC10,1,TRUE
ANAPC2,ANAPC11,1,TRUE
ANAPC2,ANAPC4,1,TRUE
ANAPC2,ANAPC5,1,TRUE
ANAPC2,ANAPC7,1,TRUE
ANAPC2,CDC16,1,TRUE
ANAPC2,CDC23,1,TRUE
ANAPC2,CDC26,1,TRUE
ANAPC2,CDC27,1,TRUE
ANAPC2,DVL1,-1,TRUE
ANAPC2,FZR1,1,TRUE
ANAPC4,ANAPC10,1,TRUE
ANAPC4,ANAPC2,1,TRUE
ANAPC4,ANAPC5,1,TRUE
ANAPC4,ANAPC7,1,TRUE
ANAPC4,CDC16,1,TRUE
ANAPC4,CDC23,1,TRUE
ANAPC4,CDC27,1,TRUE
ANAPC4,FZR1,1,TRUE
ANAPC5,ANAPC10,1,TRUE
ANAPC5,ANAPC2,1,TRUE
ANAPC5,ANAPC4,1,TRUE
ANAPC5,ANAPC7,1,TRUE
ANAPC5,CDC16,1,TRUE
ANAPC5,CDC23,1,TRUE
ANAPC5,CDC27,1,TRUE
ANAPC5,FZR1,1,TRUE
ANAPC7,ANAPC10,1,TRUE
ANAPC7,ANAPC2,1,TRUE
ANAPC7,ANAPC4,1,TRUE
ANAPC7,ANAPC5,1,TRUE
ANAPC7,CDC16,1,TRUE
ANAPC7,CDC23,1,TRUE
ANAPC7,CDC27,1,TRUE
ANAPC7,FZR1,1,TRUE
ARAF,MAP2K1,1,TRUE
ARAF,MAPK1,1,TRUE
ARAF,MAPK3,1,TRUE
ARPC2,ACTB,1,TRUE
ATP1A1,Enzyme9270__ATP1B1_ATP1A1,1,TRUE
ATP1A1,Enzyme9270__ATP1B3_ATP1A1,1,TRUE
BAK1,BAX,1,TRUE
BAK1,CYCS,1,TRUE
BAX,CYCS,1,TRUE
BCL2L1,BAK1,-1,TRUE
BCL2L1,BAX,-1,TRUE
BCL2L1,CASP9,-1,TRUE
BCL2L1,CYCS,-1,TRUE
BCL2L2,BAK1,-1,TRUE
BCL2L2,BAX,-1,TRUE
BCL2L2,BIK,-1,TRUE
BECN1,HMGB1,1,TRUE
BECN1,USP10,1,TRUE
BECN1,USP13,1,TRUE
BID,BAK1,1,TRUE
BID,BAX,1,TRUE
BID,BCL2L1,-1,TRUE
BID,BCL2L2,-1,TRUE
BID,CYCS,1,TRUE
BIK,BCL2L1,-1,TRUE
BRAF,MAP2K1,1,TRUE
BRAF,YWHAB,1,TRUE
BRAF,YWHAQ,1,TRUE
CAPN1,ITGB3,-1,TRUE
CAPN1,PTK2,-1,TRUE
CAPN1,PXN,-1,TRUE
CAPN1,RHOA,-1,TRUE
CAPN1,TLN1,-1,TRUE
CAPN1,TNS1,-1,TRUE
CAPN2,TLN1,-1,TRUE
CAPN2,TNS1,-1,TRUE
CASP2,CASP7,1,TRUE
CASP3,CASP2,1,TRUE
CASP3,CASP6,1,TRUE
CASP3,CASP7,1,TRUE
CASP3,MCL1,-1,TRUE
CASP3,MLH1,1,TRUE
CASP3,PAK2,1,TRUE
CASP3,PARP1,-1,TRUE
CASP3,PTK2,-1,TRUE
CASP3,PXN,-1,TRUE
CASP3,RB1,-1,TRUE
CASP3,SLK,1,TRUE
CASP3,TP73,1,TRUE
CASP7,PARP1,-1,TRUE
CCND3,CASP2,1,TRUE
CCND3,CCNE1,1,TRUE
CCND3,CDK6,1,TRUE
CCND3,RB1,-1,TRUE
CCND3,RBL2,-1,TRUE
CCNE1,CDKN1A,-1,TRUE
CCNE1,CDKN1B,1,TRUE
CCNE1,E2F1,1,TRUE
CCNE2,CDKN1B,-1,TRUE
CDC16,ANAPC10,1,TRUE
CDC16,ANAPC11,1,TRUE
CDC16,ANAPC2,1,TRUE
CDC16,ANAPC4,1,TRUE
CDC16,ANAPC5,1,TRUE
CDC16,ANAPC7,1,TRUE
CDC16,CDC23,1,TRUE
CDC16,CDC26,1,TRUE
CDC16,CDC27,1,TRUE
CDC16,FZR1,1,TRUE
CDC23,ANAPC10,1,TRUE
CDC23,ANAPC13,1,TRUE
CDC23,ANAPC2,1,TRUE
CDC23,ANAPC4,1,TRUE
CDC23,ANAPC5,1,TRUE
CDC23,ANAPC7,1,TRUE
CDC23,CDC16,1,TRUE
CDC23,CDC27,1,TRUE
CDC23,FZR1,1,TRUE
CDC26,ANAPC2,1,TRUE
CDC26,CDC16,1,TRUE
CDC26,CDC27,1,TRUE
CDC27,ANAPC10,1,TRUE
CDC27,ANAPC2,1,TRUE
CDC27,ANAPC4,1,TRUE
CDC27,ANAPC5,1,TRUE
CDC27,ANAPC7,1,TRUE
CDC27,CDC16,1,TRUE
CDC27,CDC23,1,TRUE
CDC27,CDC26,1,TRUE
CDC27,FZR1,1,TRUE
CDK1,ANAPC4,1,TRUE
CDK1,CASP9,-1,TRUE
CDK1,CDC16,1,TRUE
CDK1,CDC23,1,TRUE
CDK1,CDC27,1,TRUE
CDK1,CHEK1,1,TRUE
CDK1,E2F1,1,TRUE
CDK1,FBXO5,-1,TRUE
CDK1,FOXM1,1,TRUE
CDK1,MCL1,-1,TRUE
CDK1,PML,-1,TRUE
CDK1,PPP1CA,-1,TRUE
CDK1,RB1,-1,TRUE
CDK5,APP,1,TRUE
CDK5,GSK3B,1,TRUE
CDK5,LMTK2,1,TRUE
CDK5,MAP2K1,-1,TRUE
CDK5,NFAT5,1,TRUE
CDK5,PTK2,1,TRUE
CDK5,TLN1,1,TRUE
CDK6,CDKN1A,-1,TRUE
CDK6,RB1,-1,TRUE
CDK6,RBL2,-1,TRUE
CDKN1A,CCND3,-1,TRUE
CDKN1A,CCNE1,-1,TRUE
CDKN1A,CDK1,-1,TRUE
CDKN1B,CCNE2,-1,TRUE
CDKN1B,RHOA,-1,TRUE
CHEK1,AURKB,1,TRUE
CHEK1,E2F6,-1,TRUE
CHEK1,SYK,-1,TRUE
CHEK1,TP73,1,TRUE
CRK,PIK3CA,1,TRUE
CRK,PIK3R1,1,TRUE
CRK,PIK3R2,1,TRUE
CRK,PTK2,1,TRUE
CRK,PXN,1,TRUE
CRK,RAPGEF1,1,TRUE
CSK,FYN,1,TRUE
CSK,PTK2,1,TRUE
CSK,PXN,1,TRUE
CSK,SRC,-1,TRUE
CSNK2A1,BID,1,TRUE
CSNK2A1,BIK,1,TRUE
CSNK2A1,CASP2,-1,TRUE
CSNK2A1,DVL1,1,TRUE
CSNK2A1,EIF5,1,TRUE
CSNK2A1,SEC63,1,TRUE
CSNK2A1,SLK,-1,TRUE
CSNK2A1,STX1A,1,TRUE
CSNK2A1,YWHAQ,-1,TRUE
CTTN,ACTB,1,TRUE
CTTN,ARPC2,1,TRUE
CYCS,CASP9,1,TRUE
DAAM1,RHOA,1,TRUE
DAG1,PRKCA,1,TRUE
DDB2,CDKN1A,-1,TRUE
DVL1,DAAM1,1,TRUE
DVL1,RHOA,1,TRUE
DVL1,ROCK1,1,TRUE
DYNLL1,RHOA,-1,TRUE
E2F1,CASP3,1,TRUE
E2F1,CASP7,1,TRUE
E2F1,CHEK1,1,TRUE
E2F1,DDB2,1,TRUE
E2F1,HSPA5,-1,TRUE
E2F1,MIR17HG,1,TRUE
E2F1,TP73,1,TRUE
E2F1,YWHAQ,1,TRUE
E2F6,E2F1,-1,TRUE
ECT2,RHOA,1,TRUE
EIF2B5,EIF2S2,1,TRUE
EIF5,EIF2S2,-1,TRUE
ERBB2,CDK1,-1,TRUE
ERBB2,PAK1,1,TRUE
ERBB2,PIK3CA,1,TRUE
ERBB2,PIK3R1,1,TRUE
ERBB2,PIK3R2,1,TRUE
ERBB2,PLCG2,1,TRUE
ERBB2,PTK2,1,TRUE
FBXO5,ANAPC10,-1,TRUE
FBXO5,ANAPC11,-1,TRUE
FBXO5,ANAPC2,-1,TRUE
FBXO5,ANAPC7,-1,TRUE
FBXO5,CDC27,-1,TRUE
FBXO5,FZR1,-1,TRUE
FOXM1,AURKB,1,TRUE
FYN,ABL1,1,TRUE
FYN,CDK5,1,TRUE
FYN,ITGB3,1,TRUE
FYN,PIK3CA,1,TRUE
FYN,PIK3R1,1,TRUE
FYN,PLCG2,1,TRUE
FYN,PRKCA,1,TRUE
FYN,PRKCE,1,TRUE
FYN,PTK2,1,TRUE
FYN,PXN,1,TRUE
FYN,RAPGEF1,1,TRUE
FZD1,DVL1,1,TRUE
FZR1,ANAPC10,1,TRUE
FZR1,ANAPC2,1,TRUE
FZR1,ANAPC4,1,TRUE
FZR1,ANAPC5,1,TRUE
FZR1,CDC16,1,TRUE
FZR1,CDC23,1,TRUE
FZR1,CDC27,1,TRUE
GAB2,PIK3CA,1,TRUE
GAB2,PIK3R1,1,TRUE
GAB2,PIK3R2,1,TRUE
GDF15,ERBB2,1,TRUE
GNA13,RHOA,1,TRUE
GSK3B,BAX,1,TRUE
GSK3B,CCND3,-1,TRUE
GSK3B,CCNE1,-1,TRUE
GSK3B,CDK1,-1,TRUE
GSK3B,CYCS,1,TRUE
