Nodes,CARNIVAL,moon,moon_level
2h3mv_c,NA,0.08098535946164372,4
2hiv_c,NA,0.8568213179232469,4
2octpencoa_m,NA,0.05120193126031708,6
3mhis_c,NA,0.19613771443341993,2
4hexdtetcoa_m,NA,-0.20757517282752191,4
4hexdtricoa_m,NA,-0.20757517282752191,4
5eipencoa_m,NA,-0.20757517282752191,4
5tedtricoa_m,NA,-0.20757517282752191,4
AAK1,NA,0.3289861031545946,5
ABCA1,NA,1.7518469892267703,2
ABCC1,NA,0.7538073372540322,6
ABCC3,NA,0.6184389771191992,6
ABI1,NA,1.0780069159272525,6
ABL1,1,0.94936308103821,4
ABL2,1,-0.9340307517752672,5
ACADM,NA,-1.0411269622593549,4
ACADVL,NA,-0.997562356104786,4
ACAT1,NA,0.1913270885380283,3
ACLY,NA,-0.5468511142472324,4
ACO1,-1,-3.982292266159194,2
ACOX1,NA,-0.6016436247799789,4
ACP1,NA,0.4722091446443958,4
ACTA1,NA,1.1404316720219116,5
ACTB,NA,-1.7192148922529118,5
ACTN1,NA,0.2216085283791519,3
ACTR2,NA,-2.8084840260062784,6
ACVR1B,NA,-3.2282131873783007,5
ADAM10,NA,0.27947519900716344,5
ADAM12,NA,0.4461099453803383,5
ADAM15,NA,2.0927342245958074,0
ADAM17,NA,-1.2960727797189573,5
ADAM9,NA,-0.976569336105518,5
ADGRG1,NA,0.4404879074645018,5
ADORA1,NA,0.2169405645993097,4
ADORA2A,NA,0.2169405645993097,4
ADORA2B,NA,0.2169405645993097,4
ADRB2,NA,-1.603108877147509,5
ADSL,NA,-0.32650612130059115,2
AHCYL1,NA,0.9346050795660458,2
AHR,NA,-0.1911357885611602,1
AHSA1,NA,-0.1487628577195258,5
AIMP1,NA,-1.1641919415326545,6
AKAP13,NA,0.4404879074645018,5
AKR1B1,NA,2.9596293965620166,2
AKT1,NA,1.29936329914897,3
AKT1S1,NA,0.04718249117508816,5
AKT2,NA,0.2015703949114266,4
AKT3,NA,1.0273741574814164,5
ANAPC1,NA,-1.3020126945554755,5
ANAPC10,NA,-1.1306331816149688,6
ANAPC2,NA,-1.1681772267042967,6
ANAPC4,NA,-1.1306331816149688,6
ANAPC5,NA,-1.1306331816149688,6
ANAPC7,NA,-1.1306331816149688,6
ANKRD28,NA,0.5091548261296653,5
ANP32A,NA,-0.06679908736842304,5
