source,target,sign,Weight
ABL1,CEBPB,1,1
ABL1,DNM2,1,1
ABL1,JUN,1,1
ABL1,MAP3K1,1,1
ABL1,PRKCD,1,1
ABL1,RAD9A,1,1
ABL1,SHC1,1,1
ABL1,STAT1,1,1
ABL1,VAV1,1,1
ACO1,Enzyme3825__ACO1,1,1
ACO1,Enzyme3825__ACO1_reverse,1,1
ACO1,Enzyme9711__ACO1,1,1
ACO1,Enzyme9711__ACO1_reverse,1,1
ACO1,Enzyme9732__ACO1,1,1
ACO1,Enzyme97__ACO1,1,1
ACO1,Enzyme97__ACO1_reverse,1,1
ACTB,ABL1,-1,1
ACTB,ARPC2,1,1
ACTB,CTTN,1,1
ADAM12,ITGB1,1,1
ADAM12,SDC4,1,1
AKT1,CREB1,1,1
AKT1,GSK3B,1,1
AKT1,HTRA2,-1,1
AKT1,ITGB1,1,1
AKT1,PEA15,1,1
AKT1,PRKACA,1,1
AKT1,PRKCD,1,1
AKT1,PTEN,-1,1
AKT1,SMAD3,1,1
AKT1,ZYX,-1,1
ANXA2,PLAT,1,1
ARAF,MAP2K1,1,1
ARAF,MAP2K2,1,1
ARAF,MAPK1,1,1
ARAF,MAPK3,1,1
ARPC2,ACTB,1,1
ATF1,JUN,1,1
BBC3,BCL2,-1,1
BCL2,MYC,1,1
BCL2L11,BCL2,-1,1
BNIP3,BCL2,-1,1
BNIP3L,BCL2,-1,1
BRD4,MYC,-1,1
CAPN2,BCL2,-1,1
CAPN2,GSK3B,1,1
CARM1,MDH1,-1,1
CDC25A,MAPK3,-1,1
CEBPB,CREB1,1,1
CEBPB,RUNX2,1,1
CREB1,SMAD3,1,1
CREB1,TP53,1,1
CRK,PTK2,1,1
CTTN,ACTB,1,1
CTTN,ARPC2,1,1
CUL1,CDKN1B,-1,1
CUL1,SMAD3,-1,1
DDR1,SHC1,1,1
DDR2,SHC1,1,1
DNM2,VAV1,1,1
DUSP1,MAPK1,1,1
DUSP1,MAPK14,1,1
DUSP1,MAPK3,1,1
DUSP4,MAPK1,1,1
DUSP4,MAPK3,1,1
DVL1,JUN,1,1
DVL1,RAC1,1,1
DVL1,SMAD3,1,1
EGLN1,HIF1A,-1,1
EGLN2,HIF1A,-1,1
EGR1,DUSP1,1,1
