source,target,interaction
AAK1,AP2M1,1
AAK1,NUMB,1
ABCA1,Gene1786__ABCA1,1
ABCA1,Gene1788__ABCA1,1
ABCA1,Gene5715__ABCA1,1
ABCA1,Gene6553__ABCA1,1
ABCA1,Gene7779__ABCA1,1
ABCA1,Gene9907__ABCA1,1
ABCA1,Gene9910__ABCA1,1
ABCA1,Gene9914__ABCA1,1
ABCC3,Gene8662__ABCC3,1
ABI1,CBL,1
ABL1,ABI1,1
ABL1,ABL2,1
ABL1,AHSA1,1
ABL1,APBB1,1
ABL1,ARHGAP35,1
ABL1,ATR,1
ABL1,BCAR1,1
ABL1,BCR,1
ABL1,CASP9,1
ABL1,CAV1,1
ABL1,CBL,1
ABL1,CDK5,1
ABL1,CDKN1B,-1
ABL1,CEBPB,1
ABL1,CRK,-1
ABL1,CRKL,1
ABL1,CTNND1,1
ABL1,CTTN,1
ABL1,DDB2,-1
ABL1,DDX5,1
ABL1,DNM2,1
ABL1,DOK1,1
ABL1,EGFR,1
ABL1,EPHB2,1
ABL1,GPX1,1
ABL1,GRB2,1
ABL1,HDAC2,1
ABL1,HIPK2,1
ABL1,JUN,1
ABL1,MAP3K1,1
ABL1,MDM2,-1
ABL1,MDM4,-1
ABL1,MET,1
ABL1,MTOR,1
ABL1,MUC1,1
ABL1,NCK1,1
ABL1,NEDD9,1
ABL1,PLCG1,-1
ABL1,PLK1,1
ABL1,PRKCD,1
ABL1,PRKD1,1
ABL1,PRKD2,1
ABL1,PSMA7,-1
ABL1,PTPN6,1
ABL1,PXN,1
ABL1,RAD9A,1
ABL1,RAPGEF1,1
ABL1,RIN1,1
ABL1,ROBO1,-1
ABL1,SHC1,1
ABL1,SOS1,1
ABL1,SPTLC1,-1
ABL1,STAT1,1
ABL1,STK3,1
ABL1,STK4,1
ABL1,TOP1,1
ABL1,TP53BP1,1
ABL1,UBE3A,-1
ABL1,VAV1,1
ABL1,VAV2,1
ABL1,WASF2,1
ABL1,WASF3,1
ABL1,YAP1,1
ABL2,CEBPB,1
ABL2,CRK,-1
ABL2,CTTN,1
ABL2,GPX1,1
ABL2,PSMA7,-1
ABL2,RIN1,1
ABL2,SIVA1,1
ACAT1,IDH2,-1
ACLY,Gene5537__ACLY,1
ACO1,Gene3825__ACO1,1
ACO1,Gene3825__ACO1_reverse,1
ACO1,Gene9711__ACO1,1
ACO1,Gene9711__ACO1_reverse,1
ACO1,Gene9732__ACO1,1
ACO1,Gene97__ACO1,1
ACO1,Gene97__ACO1_reverse,1
ACP1,AKT1,-1
