nodes,score,RNA_input
Gene1260__UPP1_reverse,1.2618874779159361,NA
Gene146400002__orphanReacUDPGLCAtg,1.0698661457356167,NA
Gene1465__orphanReacUDPGLCter_TRANSPORTER2,1.3271059859284486,NA
Gene1465__orphanReacUDPGLCter_TRANSPORTER3_reverse,2.145457907313351,NA
Gene147000001__orphanReacUDPXYLter,1.3271059859284486,NA
Gene1489__orphanReacUMPtr,2.145457907313351,NA
Gene1489__orphanReacUMPtr_reverse,1.3271059859284486,NA
Gene1493__SLC29A1,1.2618874779159361,NA
Gene1493__SLC29A1_reverse,1.3538118482612114,NA
Gene1618__PFKL,1.520614694856843,NA
Gene3776__NT5C3A,1.2618874779159361,NA
Gene5703__PCYT1A,1.2344023923087712,NA
Gene5778__CMPK1,1.6453993625693741,NA
Gene7584__NME3_reverse,1.520614694856843,NA
Gene7584__NME7_reverse,1.520614694856843,NA
Gene9626__CMPK1,1.520614694856843,NA
Gene9626__CMPK1_reverse,1.4568584601877248,NA
Gene9635__UCK1,1.3271059859284486,NA
Gene9635__UCK2,1.3271059859284486,NA
Gene9635__UCKL1,1.3271059859284486,NA
Gene9863__UCK1,1.2672374797913721,NA
Gene9863__UCK2,1.2672374797913721,NA
Gene9863__UCKL1,1.2672374797913721,NA
ISG15,1.223850126034752,3.1525135559953297
Metab__HMDB0000082_c,1.0964371061774452,NA
Metab__HMDB0000288_c,2.189616467830774,NA
Metab__HMDB0000288_r,1.5774516698504497,NA
Metab__HMDB0000296_c,1.0703358727701624,NA
Metab__HMDB0000296_e,1.2789861228052928,NA
Metab__HMDB0001546_c,2.150480348431544,NA
STAT1,1.4051319803190698,2.7844842854027725
UPP1,1.6582179130505355,-0.9542057126681421
