nodes,score,RNA_input
ALDOA,-1.0432863740726892,0.49424949775797544
BCL2L1,-1.0759933565875752,-1.1395554647277808
BID,1.0759933565875752,0.06106430005064822
ENO1,-1.7030516812872494,-1.30649167544876
Gene1002000002__SLC7A6,-6.805215633234201,NA
Gene1002900002__SLC7A6,-6.805215633234201,NA
Gene1003000002__SLC7A6,-17.19593869007374,NA
Gene1004600002__SLC7A6,-6.805215633234201,NA
Gene1005600002__SLC7A6,-17.19593869007374,NA
Gene1006400002__SLC7A6,-6.805215633234201,NA
Gene1007200002__SLC7A6,-2.5510670386963983,NA
Gene12700001__orphanReacSLC_complex_3,-2.5510670386963983,NA
Gene12700002__orphanReacSLC_complex_3,-6.805215633234201,NA
Gene12800002__SLC1A5,-2.5510670386963983,NA
Gene13000002__SLC1A5,-2.5510670386963983,NA
Gene134200001__orphanReacSLC_complex_3,-6.805215633234201,NA
Gene142500001__orphanReacSLC_complex_3,-6.805215633234201,NA
Gene1551__orphanReacr0156,-2.5510670386963983,NA
Gene1583__ALDOA,-3.1048856494423207,NA
Gene1583__ALDOA_reverse,-1.337231170209475,NA
Gene1584__PFKL,-1.337231170209475,NA
Gene1584__PFKL_reverse,-3.637277442579894,NA
Gene1585__PFKL,-1.337231170209475,NA
Gene1585__PFKL_reverse,-1.548592985731626,NA
Gene1765__orphanReacALAtmi,-2.5765339606765,NA
Gene180300001__SLC7A5,-2.5510670386963983,NA
Gene180400001__SLC7A5,-2.5510670386963983,NA
Gene180500001__SLC7A5,-2.5510670386963983,NA
Gene180600001__SLC7A5,-2.5510670386963983,NA
Gene180700001__SLC7A5,-2.5510670386963983,NA
Gene180800001__SLC7A5,-2.5510670386963983,NA
Gene180900001__SLC7A5,-2.5510670386963983,NA
Gene181000001__SLC7A5,-2.5510670386963983,NA
Gene186600002__SLC7A6,-2.5510670386963983,NA
Gene186700002__SLC7A6,-2.5510670386963983,NA
Gene186800002__SLC7A6,-2.5510670386963983,NA
Gene186900002__SLC7A6,-2.5510670386963983,NA
Gene187000002__SLC7A6,-2.5510670386963983,NA
Gene187500002__SLC7A6,-6.805215633234201,NA
Gene188000002__SLC7A6,-6.805215633234201,NA
Gene188500002__SLC7A6,-6.805215633234201,NA
Gene188600002__SLC7A6,-17.19593869007374,NA
Gene189300002__SLC7A6,-6.805215633234201,NA
Gene189400002__SLC7A6,-17.19593869007374,NA
Gene190000002__SLC7A6,-17.19593869007374,NA
Gene190900003__SLC7A6,-6.805215633234201,NA
Gene192300002__SLC7A6,-6.805215633234201,NA
Gene192400002__SLC7A6,-17.19593869007374,NA
Gene193200003__SLC7A6,-6.805215633234201,NA
Gene193900002__SLC7A6,-17.19593869007374,NA
Gene194800002__SLC7A6,-6.805215633234201,NA
Gene195400002__SLC7A6,-6.805215633234201,NA
Gene196100002__SLC7A6,-17.19593869007374,NA
Gene197300002__SLC7A6,-2.5510670386963983,NA
Gene197400002__SLC7A6,-2.5510670386963983,NA
Gene197500002__SLC7A6,-2.5510670386963983,NA
Gene2346__PKM,-3.6360689425209447,NA
Gene2346__PKM_reverse,-1.8395183557619863,NA
Gene263900002__SLC3A2_SLC7A6,-2.5510670386963983,NA
Gene2693__orphanReacSLC_complex_9_TRANSPORTER1,-17.19593869007374,NA
Gene30600002__SLC1A5,-17.19593869007374,NA
Gene3422__orphanReacALAARGCYSr,-1.5966772998541436,NA
Gene3422__orphanReacALAARGCYSr_reverse,-1.5933801751109282,NA
Gene3429__orphanReacALAASNLEUr,-1.221577262054592,NA
Gene3429__orphanReacALAASNLEUr_reverse,-1.4178282854111528,NA
Gene3430__orphanReacALAGLYLYSr,-2.553386857372546,NA
Gene3430__orphanReacALAGLYLYSr_reverse,-1.1501416050108926,NA
Gene3433__orphanReacARGALATHRr_reverse,-1.1466368934333437,NA
Gene3538__orphanReacTRPALAPROr,-1.7977267496114866,NA
Gene3538__orphanReacTRPALAPROr_reverse,-1.0531170190908388,NA
Gene3686__PEPD_reverse,-1.4089070853636374,NA
Gene3724__NME3_reverse,-2.590052946778652,NA
Gene3777__TALDO1,-3.1048856494423207,NA
Gene3777__TALDO1_reverse,-5.866787048566524,NA
Gene3795__TPI1_reverse,-2.681793868603957,NA
Gene3828__PFKL,-4.350884267336401,NA
Gene3828__PFKM,-4.350884267336401,NA
Gene3828__PFKP,-4.350884267336401,NA
Gene3833__PKM,-4.350028985796776,NA
Gene4152__orphanReacFDPte,-7.199539707731371,NA
Gene4152__orphanReacFDPte_reverse,-4.350884267336401,NA
Gene558500002__SLC1A5,-2.5510670386963983,NA
Gene558600002__SLC1A5,-2.5510670386963983,NA
Gene558800002__orphanReacSLC_complex_3,-6.805215633234201,NA
Gene558900001__orphanReacSLC_complex_2,-2.5510670386963983,NA
Gene559000002__SLC1A5,-2.5510670386963983,NA
Gene559100002__SLC38A2,-2.5510670386963983,NA
Gene559100002__SLC7A1,-2.5510670386963983,NA
Gene563000002__SLC1A5,-17.19593869007374,NA
Gene5896__orphanReacDTTPtn,-1.2675560569898383,NA
Gene619000001__SLC25A1,-1.7046991310379147,NA
Gene619100001__SLC25A1,-1.7046991310379147,NA
Gene645300001__orphanReacSLC_complex_9,-17.19593869007374,NA
Gene6460__TPP1_reverse,-1.279748906999653,NA
Gene6630__orphanReacMETTRANSc,-2.5510670386963983,NA
Gene6630__orphanReacMETTRANSc_reverse,-1.0890510663268715,NA
Gene6644__PEPD_reverse,-1.3476073310161985,NA
Gene7057__orphanReacALALYSTHRr,-1.2664450363460977,NA
Gene7057__orphanReacALALYSTHRr_reverse,-1.425344264675887,NA
Gene7112__orphanReacGLUTRPALAr,-1.4929862153745326,NA
Gene7112__orphanReacGLUTRPALAr_reverse,-1.6180395030950792,NA
Gene7225__ENO1,-1.8395183557619863,NA
Gene7269__orphanReacGLYHISLYSr_reverse,-1.0627970093300327,NA
Gene7270__orphanReacGLYLYSCYSr_reverse,-1.1717668776073717,NA
Gene7276__ALDOA,-4.605664914831673,NA
Gene7276__ALDOA_reverse,-4.350884267336401,NA
Gene7292__orphanReacHISLYSALAr,-2.1169488971748045,NA
Gene7292__orphanReacHISLYSALAr_reverse,-2.280745392223814,NA
Gene7307__orphanReacLEUALAARGr,-1.1241536752165453,NA
Gene7307__orphanReacLEUALAARGr_reverse,-1.0583211106245154,NA
Gene7328__TKT,-4.6131945458769765,NA
Gene7328__TKT_reverse,-3.1048856494423207,NA
