Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ABL1,1,0,1,0,1,1,1,1,NA
AKT1,1,0,1,0,1,1,1,1,NA
AKT2,1,0,1,0,1,1,1,1,NA
AKT3,1,0,1,0,1,1,1,1,NA
APP,2,0,1,0,1,1,1,1,2.2538359851577954
ATF7,1,0,1,0,1,1,1,1,3.8406793805302666
BCAR1,1,0,1,0,1,1,1,1,NA
CAV1,3,0,1,0,1,0.5,1,1,2.5482454200585973
CHEK1,1,0,0,1,-1,1,-1,-1,NA
CLK2,1,0,1,0,1,1,1,1,NA
CTNNB1,0,0,0,1,-1,0,-1,-1,NA
CTNND1,0,0,1,0,1,0,1,1,NA
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
EP300,1,0,1,0,1,1,1,1,NA
ERBB2,3,0,0,1,-1,1,-1,-1,-0.38034958518805595
FN1,2,0,1,0,1,1,1,1,2.087945966420949
FOS,1,0,1,0,1,1,1,1,13.211649660329833
FOSL1,1,0,1,0,1,1,1,1,5.904096979570688
GSK3A,1,0,1,0,1,1,1,1,NA
GSK3B,1,0,1,0,1,1,1,1,NA
HBEGF,2,0,1,0,1,1,1,1,1.2608750571924696
HRAS,2,0,1,0,1,1,1,1,2.288820271814524
ID2,0,0,0,1,-1,0,-1,-1,NA
ITGB1,3,0,1,0,1,1,1,1,3.605959078391144
JAK1,1,0,1,0,1,1,1,1,NA
JUN,1,0,1,0,1,1,1,1,6.289921481510688
JUNB,1,0,1,0,1,1,1,1,4.298810811014016
JUND,1,0,1,0,1,1,1,1,5.0919292312111715
KITLG,1,0,1,0,1,1,1,1,NA
MAP2K1,1,0,1,0,1,1,1,1,NA
MAP2K2,1,0,1,0,1,1,1,1,NA
MAP2K4,1,0,1,0,1,1,1,1,NA
MAP3K1,1,0,1,0,1,1,1,1,NA
MAP3K11,1,0,0,1,-1,1,-1,-1,NA
MAPK1,1,0,1,0,1,1,1,1,NA
MAPK14,1,0,1,0,1,1,1,1,NA
MAPK3,1,0,1,0,1,1,1,1,NA
MAPK8,1,0,1,0,1,1,1,1,NA
MAPK9,1,0,1,0,1,1,1,1,NA
MITF,1,0,1,0,1,1,1,1,9.657052573466224
MMP14,0,0,0,1,-1,0,-1,-1,NA
MYC,1,0,0,1,-1,1,-1,-1,-5.155864131816764
NFATC3,0,0,1,0,1,0,1,1,NA
NFKB1,1,0,1,0,1,1,1,1,6.341658130739368
NOTCH1,3,0,0,1,-1,1,-1,-1,-0.705752569760374
NRIP1,1,0,1,0,1,1,1,1,NA
NUAK1,1,0,1,0,1,1,1,1,NA
PAK1,1,0,1,0,1,1,1,1,NA
PAK2,1,0,1,0,1,1,1,1,NA
PIK3R1,1,0,1,0,1,1,1,1,NA
PPP2CA,0,0,0,1,-1,0,-1,-1,NA
PRKACA,1,0,1,0,1,1,1,1,NA
PRKCD,1,0,1,0,1,1,1,1,NA
PRKCZ,1,0,1,0,1,1,1,1,NA
PRKDC,1,0,1,0,1,1,1,1,NA
PTK2,1,0,1,0,1,1,1,1,NA
PTPN1,1,0,1,0,1,1,1,1,NA
RAC1,1,0,1,0,1,1,1,1,NA
RAF1,1,0,1,0,1,1,1,1,NA
RARA,1,0,1,0,1,1,1,1,4.635357757350726
RELA,1,0,1,0,1,1,1,1,4.891191656573592
ROCK1,1,0,1,0,1,1,1,1,NA
RPS6KA4,1,0,1,0,1,1,1,1,NA
SKP2,1,0,1,0,1,1,1,1,NA
SMAD3,3,0,1,0,1,1,1,1,2.443357233087656
SMAD3,3,0,1,0,1,1,1,1,6.250711166096205
SMAD4,1,0,1,0,1,1,1,1,4.519349452893868
SNAI1,0,0.5,0.5,0,0.5,0,0.5,1,NA
SP1,1,0,1,0,1,1,1,1,3.6056710434792256
SRC,1,0,1,0,1,1,1,1,NA
SRF,1,0,1,0,1,1,1,1,11.457427235080491
SRPK2,1,0,1,0,1,1,1,1,NA
STAT1,1,0,1,0,1,1,1,1,10.813445240222029
STAT3,1,0,1,0,1,1,1,1,7.911350863970297
STAT5B,1,0,1,0,1,1,1,1,5.025612229591523
STAT6,1,0,1,0,1,1,1,1,NA
STK11,1,0,1,0,1,1,1,1,NA
THRA,0,0,1,0,1,0,1,1,NA
TLN1,2,0,1,0,1,1,1,1,3.051875595096952
TNK2,1,0,1,0,1,1,1,1,NA
TP53,1,0,1,0,1,1,1,1,6.567530020504592
TYK2,1,0,1,0,1,1,1,1,NA
USF1,1,0,1,0,1,1,1,1,3.9193143089935942
VEGFA,2,0,1,0,1,1,1,1,2.8433902980560695
WNK1,1,0,1,0,1,1,1,1,NA
ZBTB33,1,0,0,1,-1,1,-1,-1,-0.9568487227486997
