Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ABL1,1,0,1,0,1,1,1,1,NA
ACVR1,3,0,1,0,1,1,1,1,2.398459516764173
ACVR1B,3,0,1,0,1,1,1,1,NA
ADAM10,2,0,1,0,1,1,1,1,1.306032698752415
ADAM9,2,0,1,0,1,1,1,1,3.4045099144891413
AKT1,1,0,1,0,1,1,1,1,NA
AKT2,1,0,1,0,1,1,1,1,NA
AKT3,1,0,1,0,1,1,1,1,NA
APP,2,0,1,0,1,1,1,1,2.2538359851577954
ATF1,1,0,1,0,1,1,1,1,3.5332170034127675
AXIN1,1,0,0,1,-1,1,-1,-1,NA
BCAR1,1,0,1,0,1,1,1,1,NA
CAV1,3,0,1,0,1,0.5,1,1,2.5482454200585973
CCNA2,1,0,0,1,-1,1,-1,-1,NA
CCNE1,1,0,0,1,-1,1,-1,-1,NA
CDK1,0,0,0,1,-1,0,-1,-1,NA
CDK2,1,0,0,1,-1,1,-1,-1,NA
CDK4,0,0.8,0,0.2,-0.2,0,-0.2,-1,NA
CEBPA,1,0,1,0,1,1,1,1,7.877272643902079
CHEK1,1,0,0,1,-1,1,-1,-1,NA
CHUK,1,0,0,1,-1,1,-1,-1,NA
CREBBP,0,0,0,1,-1,0,-1,-1,NA
CTCF,1,0,1,0,1,1,1,1,6.348663067645258
CTNNB1,0,0,0,1,-1,0,-1,-1,NA
CTNND1,0,0,1,0,1,0,1,1,NA
E2F2,1,0,0,1,-1,1,-1,-1,-4.203531127709861
E2F3,1,0,0,1,-1,1,-1,-1,-1.6552974912711647
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
EIF2AK2,1,0,1,0,1,1,1,1,NA
EIF4E,1,0,1,0,1,1,1,1,NA
ELAVL1,1,0,1,0,1,1,1,1,NA
ELF1,1,0,1,0,1,1,1,1,4.3881551997375
EPHB2,3,0,1,0,1,1,1,1,NA
FOS,1,0,1,0,1,1,1,1,13.211649660329833
FOSL1,1,0,1,0,1,1,1,1,5.904096979570688
FOSL2,1,0,1,0,1,1,1,1,8.528610779063825
FYN,1,0,1,0,1,1,1,1,NA
GSK3B,1,0,1,0,1,1,1,1,NA
HIF1A,1,0,1,0,1,1,1,1,8.057728853867147
HMGB1,1,0,1,0,1,1,1,1,-1.148033704797374
HRAS,2,0,1,0,1,1,1,1,2.288820271814524
ID2,0,0,0,1,-1,0,-1,-1,NA
IKBKB,0,0.8,0,0.2,-0.2,0,-0.2,-1,NA
IL6R,3,0,1,0,1,1,1,1,NA
IRF3,1,0,0,1,-1,1,-1,-1,-2.188369488610287
ITGAV,3,0,1,0,1,1,1,1,2.638047148742996
ITGB1,3,0,1,0,1,1,1,1,3.605959078391144
ITGB5,3,0,1,0,1,1,1,1,2.7289166273099905
JAK1,1,0,1,0,1,1,1,1,NA
JUN,1,0,1,0,1,1,1,1,6.289921481510688
KITLG,1,0,1,0,1,1,1,1,NA
LIF,1,0,1,0,1,1,1,1,2.4819465602740234
MAP2K1,1,0,1,0,1,1,1,1,NA
MAP2K2,1,0,1,0,1,1,1,1,NA
MAP3K1,1,0,1,0,1,1,1,1,NA
MAP3K7,1,0,1,0,1,1,1,1,NA
MAPK1,1,0,1,0,1,1,1,1,NA
MAPK11,1,0,1,0,1,1,1,1,NA
MAPK14,1,0,1,0,1,1,1,1,NA
