Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ABL1,5,0,1,0,1,1,1,1,2.59365874217639
ADAM17,2,0.5,0.5,0,0.5,0,0.5,1,NA
ADAM9,2,0,1,0,1,1,1,1,3.4045099144891413
AKT1,5,0,1,0,1,1,1,1,1.8920008628401677
AKT2,5,0,1,0,1,1,1,1,3.382300958557935
AKT3,5,0,1,0,1,1,1,1,3.5579348045044386
APP,2,0,1,0,1,1,1,1,2.2538359851577954
ATF1,4,0,1,0,1,1,1,1,3.5332170034127675
ATF7,4,0,1,0,1,1,1,1,3.8406793805302666
AXIN1,5,0,0,1,-1,1,-1,-1,-0.5157123690620454
BCAR1,5,0,1,0,1,1,1,1,2.1190282628575683
CAV1,3,0,1,0,1,0.5,1,1,2.5482454200585973
CCNA2,5,0,0,1,-1,1,-1,-1,-1.1750898811245374
CCNE1,5,0,0,1,-1,1,-1,-1,-2.1280160535264003
CDK1,5,0,0,1,-1,0,-1,-1,0.41588785927804034
CDK4,5,0.8,0,0.2,-0.2,0,-0.2,-1,0.5447385641857532
CDK5,5,0,1,0,1,1,1,1,2.361645330494321
CEBPA,4,0,1,0,1,1,1,1,7.877272643902079
CHEK1,5,0,0,1,-1,1,-1,-1,-0.9718768807332704
CHUK,5,0,0,1,-1,1,-1,-1,-0.832199153175229
CLK2,5,0,1,0,1,1,1,1,2.1045769426365415
CREB5,4,0,1,0,1,1,1,1,2.2464431932597098
CSNK2B,5,0,1,0,1,1,1,1,1.756436019943014
CTNNB1,5,0,0,1,-1,0,-1,-1,0.3075365187224945
CTNND1,5,0,1,0,1,0,1,1,NA
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
EIF2AK2,5,0,1,0,1,1,1,1,1.9583232057298436
EIF4E,5,0,1,0,1,1,1,1,1.623282692166483
ELAVL1,5,0,1,0,1,1,1,1,4.343448020530594
ELF1,4,0,1,0,1,1,1,1,4.3881551997375
EP300,5,0,1,0,1,1,1,1,2.550183931362354
EPHB2,3,0,1,0,1,1,1,1,2.941237734032235
ETS1,4,0,1,0,1,1,1,1,8.358150846373533
ETS2,4,0,1,0,1,1,1,1,2.714000193029335
FN1,2,0,1,0,1,1,1,1,2.087945966420949
FOS,4,0,1,0,1,1,1,1,13.211649660329831
FOSL1,4,0,1,0,1,1,1,1,5.904096979570688
FOSL2,4,0,1,0,1,1,1,1,8.528610779063825
GATA2,4,0,1,0,1,1,1,1,7.290569253586667
GSK3A,5,0,1,0,1,1,1,1,2.244135223519311
GSK3B,5,0,1,0,1,1,1,1,2.5358415995137644
HDAC2,5,0,1,0,1,1,1,1,3.3578503328017044
HIF1A,4,0,1,0,1,1,1,1,8.057728853867147
HMGB1,5,0,1,0,1,1,1,1,1.6388439488586262
HMGB1,5,0,1,0,1,1,1,1,-1.148033704797374
HRAS,2,0,1,0,1,1,1,1,3.54584928296538
HRAS,2,0,1,0,1,1,1,1,2.288820271814524
ID2,5,0,0,1,-1,0,-1,-1,NA
ITGAV,3,0,1,0,1,1,1,1,2.638047148742996
ITGB1,3,0,1,0,1,1,1,1,3.605959078391144
ITGB5,3,0,1,0,1,1,1,1,2.7289166273099905
